,runoff,soil_moisture,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_in,q_out,res_s,c2v_s,ds
2008-11-30,0.1325923096294902,1.496236186342099,2.235908976729411,2.8784767995443596,3.655713795866549,3.087662939114689,2.6432214157487417,0.7980008792140298,2.5861151558105413,3.7594401998805913,0.7949277994129008,1.923111536326375,2.9001967854007504,1.9723191141288876,0.6713403749766144,0.88298419104,0.67689928656,5620.445585784264,0.18996086768259146
2008-12-31,0.14811164757534118,2.5645577323174655,2.4033096047947438,2.1914236425086657,3.019063933294615,2.9061218742588517,3.0721147520006893,0.923420480336113,1.5103772272239082,2.2026330792681095,0.49520100818570545,1.3193108009819359,2.718406761371513,1.2901885191991542,0.6064757454154752,0.80315706588,0.70116923904,5620.888942598116,0.13894542325246728
2009-01-31,0.1064594300646902,2.646458161333509,1.7120873371492593,1.678485425924546,2.6520544818543557,2.652506620839498,1.8837382957900894,1.2559955805834542,2.200632669955273,3.2644253147997886,0.8226219497632915,1.2543399947886433,2.1157744323115493,1.7596031019780902,0.5923826860916737,0.61453947168,0.7622314329600001,5621.395110327298,0.19105192180908892
2009-02-28,0.8475186806261962,4.943588689312026,5.638537117166129,6.55013693883486,6.220626094974238,5.9827271915442015,6.953669063153551,1.648231527171815,2.5024982593174894,3.449205946438173,1.4121627447678404,2.1934118748987235,6.269139281134596,2.2411020705188083,0.9453043711060994,0.7499533730399999,1.0509064578,5622.314345137715,1.63758265586337
2009-03-31,0.2519776909352157,4.477391363207731,2.105793097771067,2.8117056461283827,3.348928627502026,2.5668239170350753,2.4337055051847636,2.21504662044672,5.064606861057719,6.858690464053932,2.083102596207693,2.276124461816571,2.653391358724263,3.699514200716527,1.1311343959477247,0.7006376091600001,1.5795944880000001,5622.373605041405,-0.6781167593002451
2009-04-30,0.0585694588928,3.288765769985406,0.7201325546260953,1.0407647269946965,1.370037190244995,1.143688708975255,0.7357286225186183,1.7463817184256,7.220657256084693,9.659213804644072,2.2257777590154024,1.916457338784427,1.002070360671932,4.553697575390838,1.296809882661888,0.7289188386,1.75806917616,5621.683849986339,-1.9735852655946922
2009-05-31,0.05247315197791373,2.4369528462854024,1.3472261014908058,1.5293610495279362,1.4085352438680732,1.2769003815633928,1.447336043573428,2.3405705069945477,10.457426981096319,14.015681362814494,2.1150952963453684,1.7361357428354514,1.4018717640047271,6.132981978017236,1.9388829990362115,1.53405563988,2.1303877132799998,5620.381687633297,-3.8467884682762943
2009-06-30,0.02105585631071373,1.8047674484723957,0.4865277573271205,0.3678866485130292,0.767110502645453,0.6417425327595381,0.6965302680965597,2.198607923471862,10.286539163508476,13.562145506801436,1.4236856874040105,1.0423910007599186,0.5919595418683401,5.70267385638914,1.6132448190385154,1.87780554672,1.9760312595599998,5618.725311784449,-4.588733190669279
2009-07-31,0.0,1.3826239278172363,0.00022200129124601409,0.05632679568973052,0.05443748802175529,0.026066488732186113,0.0007969464579058824,1.4228593925111972,12.702374441822817,17.180952619165982,1.1781293510387996,0.4295461326992565,0.027569944038564765,6.58277238744761,1.9156357253846017,1.08571773036,1.52421370296,5616.417558403147,-4.851323371129285
2009-08-31,0.0,1.1457622752794103,0.008704777877891416,0.10229381546421369,0.10481975583665816,0.05431519694023548,0.01448720773647451,1.1912843394810981,11.123805864197667,15.323493124772453,0.6047843031296957,0.26306679815067613,0.05692415077109465,5.701286885946318,1.5953880030197762,1.37386605924,1.2935504759999998,5613.816518182827,-4.955315911897621
2009-09-30,0.0,0.9872223915546103,0.1486215147372913,0.26609159032084256,0.3474561732665137,0.29616626306189364,0.1720700689192645,1.0103560087363266,8.879174922578411,12.63831083509179,0.34507918546678895,0.3015664715482855,0.24608112206116112,4.634897484684321,1.0472594408275968,0.9534097316399999,1.20451665612,5611.502196181335,-4.047392949830762
2009-10-31,0.14908380976790592,1.0400470491083798,2.764052607471972,2.262931432636609,3.3040897787634056,2.826320783817513,3.243669069298961,1.0181008057231562,5.102157249462754,7.355055854687231,0.5837745138720696,2.456732806532719,2.880212734397692,3.303164246055586,0.8679347762605056,1.48137987648,1.0516095414,5611.510827122014,-0.9363141547111573
2009-11-30,0.04455902736865883,0.9961223765554196,0.6655486711243966,1.2086144372484533,1.8079804457319055,1.4375421690832662,0.8093694181395402,0.9220745741581052,2.825490812755503,4.201236313332119,0.49656868467857096,0.6762496146476175,1.1858110282655123,1.8243239999143832,0.592218839196979,1.20452035656,0.9640410957600001,5611.503709588244,-1.119321370818932
2009-12-31,0.225475322125051,3.02003938778092,3.4981845924175334,3.8807000730278047,4.2580461982201125,3.858192771008189,3.8804817040147053,0.8805751995167124,1.535189163489621,2.230400348058253,0.6255163468316488,1.368092761995545,3.875121067737669,1.327954763978356,0.5851382654923776,0.88497749472,0.9455105257200002,5612.065448057094,0.24194063334618987
2010-01-31,1.545761043700957,6.17925788996307,7.017955349594494,7.657255263417054,7.225489931891902,6.731031916351928,8.112064697058367,1.1970172745844458,1.522868703922131,2.058444009725322,1.116523834718321,1.7375624362369508,7.348759431662749,1.5264832518374343,1.2057937767263232,0.8089346862000001,1.03036161492,5613.6068085040715,2.9750656789694885
2010-02-28,1.1116428123115922,6.546736762300537,4.078010616900556,5.102623863223652,4.961920617057402,4.93192832628024,4.7906261899710785,1.7224867595047155,2.2301953986302383,2.85597600476675,1.413507988747175,2.1162204214613336,4.773021922686586,2.067677314622043,1.0812798251817983,0.6933637776,1.21449550932,5615.103403600572,2.5416478889088747
2010-03-31,0.19626216485747452,5.776716579364544,1.7779324992186987,2.8005485355795563,2.9405707109915493,2.3554157783737524,2.3404125423556095,2.2827164825479533,4.53158344468915,5.912240048749288,2.380791952216931,2.4882974637256794,2.4429760133038334,3.5191258783858004,1.0006511768801278,0.84293679588,1.50619996104,5615.903325746814,-0.4401197528658469
2010-04-30,0.8205733871455374,5.504077082936422,4.034144170847628,4.267635904925514,4.636875104755268,4.134514366428496,4.625350176985192,2.165827101714874,5.442703544316554,6.889058092003008,2.726294734652137,3.7064846511108014,4.33970394478842,4.186073624759475,1.496474584409088,2.27402029188,2.0113038536400003,5616.687266788165,-0.8563797836138443
2010-05-31,0.06560204603231372,3.909315599732255,0.9635153123027521,0.95407390758165,1.3192864206705195,0.9298499890685668,1.2172930875937995,2.7008828435391754,8.168218598179225,10.570552261868407,2.5419942930813773,2.4313785446528504,1.0768037434434574,5.282605308264207,2.404807810182144,2.2516930704,2.18234189088,5616.163581981505,-2.6289633790744387
2010-06-30,0.007826290133835295,2.574688802950526,0.038755983216511074,0.17646141946257507,0.2938218237868743,0.08405591227953446,0.06858424365686955,2.6259741435257475,10.920840051127017,14.432277250543438,2.231661513861015,1.385107440473349,0.1323358764804729,6.319172079906113,2.5430278468331524,1.6146536900400001,2.28641923284,5615.226619746098,-4.027912591810759
2010-07-31,0.0,1.831083396783887,0.0005925268289393693,0.05399653751352561,0.32108911325442097,0.019544595589306994,0.0010535698480236078,2.017325521529274,12.042793114300979,15.924460806254855,1.6431139444492222,0.7539186692979453,0.07925526860684332,6.476322411166454,2.0509848082197504,1.7736702312,1.8749882784,5613.80606170593,-4.964716204933222
2010-08-31,0.0,1.445714733748706,0.009833178234732374,0.09388185725275729,0.1137277192013575,0.04298529027367726,0.014530614737185674,1.6496503054307894,10.546430379509857,14.293212148503912,0.8968666566307729,0.40790130692457416,0.05499173193994202,5.558812159399982,1.4558837854436348,1.6743775581600002,1.58186039076,5612.342266988366,-5.043817649501224
2010-09-30,0.010777923387231374,1.2088161768580519,0.09599668541688093,0.2511973040779303,0.2868244736917008,0.10112208980542867,0.1432352900225642,1.3518360221073573,8.205268732888893,11.484038176810104,0.4741761884338808,0.3914545553399969,0.17567516860290097,4.381354735116046,0.9323117551862786,1.6960855726800002,1.4859597877200001,5610.720157085117,-4.6366542240762145
2010-10-31,0.12794405479604706,1.2115472837945225,2.5682839306763396,2.9114217629058565,3.2206492685034203,2.512214634073515,2.8774188728398196,0.9864407894429615,4.8047583618677665,6.771764248575342,0.5341062573552605,2.177373306507344,2.81799769379979,3.0548885927497347,0.9842480647271424,1.4419405869600002,1.36951187484,5611.067418496196,-0.5808666152392726
2010-11-30,0.16600658417945097,2.0883642113622343,2.8609614754984576,3.5165538345668144,3.9457853472623214,3.1377106585116428,3.581855439252416,1.0548861236521163,2.5158946671815654,3.639022666729777,0.8015956855887534,1.987998310631304,3.4085733510183305,1.9998794907567032,0.8658600591458304,1.33482024984,1.3030186684799998,5611.762300458064,0.12940994835974606
2010-12-31,1.441560430579953,6.267387053604142,8.545313262217972,9.030320926499368,9.636766617589446,8.175369445601012,9.94281908591865,1.0399318553820862,1.4853425024669231,2.080780092504855,0.9423028682609006,1.7900740249359064,9.06611786756529,1.4676862687101342,3.60251295234048,1.26857497296,1.2454620247200001,5614.494492949214,5.810903379753729
2011-01-31,0.3561383898774589,6.324375361563307,1.9498127141080288,2.641591833646342,3.183946229070173,2.6414701365443354,2.294841641162955,1.3033829547425633,1.7437907316006456,2.4127497234496467,1.2491230846137757,1.470042746147539,2.542332510906367,1.6358178481108339,2.460287171201126,1.01175210216,1.23160140996,5616.499620076719,2.311922038637494
2011-02-28,1.0112521576648785,6.695230606148469,3.785606553679822,3.6262212443239323,4.430166535297862,4.121228785586508,4.396635716895335,1.621440595334325,2.5899752810900005,3.6090832834513966,1.5581126703419201,2.3378222815340433,4.0719717671566915,2.343286822350337,1.5488280343941119,1.02446558052,1.44438287736,5618.248989948958,1.6694106866953042
2011-03-31,2.6581416344355144,7.214359998117849,7.452172284821589,8.263840856859522,7.868585988654495,6.936694096989298,8.427047694314627,2.5185970500583914,3.865112759222824,5.029060412450447,2.0759341691770947,3.4908124203670585,7.789668184327906,3.395903362255163,5.848606774877182,3.9110123047199994,1.64425474308,5620.940823027172,5.612358034540547
2011-04-30,0.06675899654224314,5.29133644772332,0.5087059834841328,1.1717141483495135,1.5102557346745067,0.7984587708738456,0.6627886175551316,2.1591973635557897,5.762274429886309,7.3216583180117505,3.018344175994194,2.6009361920397556,0.9303846509874261,4.17248209589756,4.940310981648385,3.1373292434400004,1.8198147180000002,5622.222433052856,0.308347868772779
2011-05-31,0.0660319220876549,3.8349514759549495,1.5717967383393496,1.1542659775448842,1.5653944957755486,1.3195963107679047,1.8597158235729963,2.6957208412437086,8.016022507212751,10.263912949528422,2.703124393761146,2.427877162385167,1.4941538692001366,5.22133157082624,3.6917252255600648,1.9747435064400003,2.0661739779599997,5622.521576670638,-0.8001702706976677
2011-06-30,0.02947695345744314,2.6956981838261713,1.8588543204666106,0.5017204683339488,1.5377646428608114,1.4150943670157714,2.1486660911503246,2.7077826558598534,9.07987661690044,11.453944381813749,2.380650288698935,1.559031496929682,1.4924199779654934,5.436257088040532,4.1081997129523184,7.867976673360001,2.3118930618,5622.519780820922,-6.810079862193943
2011-07-31,0.0,1.922722279860907,0.020159631624668363,0.05707890178161552,0.08446268253783246,0.04380866311863456,0.012732387975570454,2.4025698139633946,10.915799638228178,13.88846883499957,1.7703332296474197,0.786884158115037,0.043648453407664274,5.95281113499072,3.02221432336896,6.32055751116,2.21058241548,5621.440480720355,-8.333219319088832
2011-08-31,0.0,1.5144074265519687,0.008611325932856875,0.08461497765265799,0.06286999016322353,0.027414399995581686,0.0025095539361437258,1.7320026949507519,10.511436630450541,14.01304121620409,1.0691199440697665,0.41303704406698677,0.037204049536092756,5.547727505948427,2.177915409714586,3.6417793916400005,1.8738744459599999,5620.286581771727,-6.2293646155088105
2011-09-30,0.0,1.2635491464870652,0.024771867326422156,0.2919140611978638,0.23301713483759906,0.0818337777620708,0.04859572080859944,1.3325401965282886,8.618893235006876,12.005909199555916,0.6184905451817202,0.3227218909364706,0.13602651238651103,4.579711013441854,1.5094927670012928,3.3409743244800003,1.60616118024,5618.928979799736,-5.756594512749148
2011-10-31,0.09628473124743529,1.150657646082811,1.6940136171685352,1.694971175074985,1.889901037035774,1.562263457084894,1.9362275260077875,0.9941530698157679,4.440587265209436,6.002726051590008,0.7845946399908399,1.740141946283671,1.7554753624743953,2.7924405945779442,1.5296385464027138,1.8934596413999998,1.35677619384,5619.244990024249,-1.038509840296581
2011-11-30,0.11570653671102747,1.4594875902221052,1.6014489882311684,2.4082799947630757,2.896545675426508,2.3217681725364314,2.0465568400786327,1.0308396870776473,2.471271473580223,3.591852697370997,0.6839463937026988,1.6236927633584692,2.2549199342071633,1.880320603018007,0.9105249379378176,1.43362323132,1.19845040148,5619.6977164596165,-0.29900311397232004
2011-12-31,0.012484750038839218,1.3556679393175595,0.13409899040091205,0.5977919301214648,1.0506463331092417,0.8263757966416316,0.15129766867704927,0.695654430729236,2.110669241213534,3.278072587088577,0.4650804553571358,0.3900435527900863,0.5520421437900599,1.3879040534357139,0.7042392264803329,1.62459430536,1.12333270296,5620.206731144458,-1.5772796391007753
2012-01-31,0.21856042091620395,3.006266964802059,3.0638977191371217,3.907136930380495,4.254792886213149,3.955969991355411,3.8198338857108127,0.8234006429073569,2.2044595811338685,3.2911008234706007,0.7557639501971819,1.6487603736053964,3.8003262825593978,1.7446970742628811,0.7691615217321985,1.4366193542399999,1.1356107628799998,5620.977089598879,-0.2747057096157839
2012-02-29,0.1098836078632157,2.9301029953893396,1.0687321333187618,1.808087077655914,2.313374518589306,1.7159567948240992,1.4696871670731957,1.2395698725080848,3.2958705997450592,4.706478633376397,1.2954801898132748,1.3458766063387106,1.6751675382922553,2.376655180356306,0.6691860464246784,0.99941236824,1.12186486176,5621.201400430184,-0.9418040933466532
2012-03-31,0.6373068442322825,3.699058833507589,4.928241631621288,5.932036745869018,5.610710957612009,4.788611194205811,5.950331993326869,1.795228775096722,4.324097758460983,5.799483717564585,1.7295618096381355,3.033141997490096,5.441986504527,3.3363028116501043,1.230684828385075,1.13658151164,1.56456700116,5621.760268976366,0.988129032103721
2012-04-30,0.2995837119186824,3.398348406010178,3.2705294808245307,3.3873171599334335,2.994061712723848,3.145449504014926,3.4594231997898715,2.6902969601024003,6.618394855747689,8.574876421136544,2.621480566600273,3.3952729558377417,3.251356211457322,4.7800643518849295,1.4721011049553918,1.18339207764,2.06701521132,5621.773204189731,-1.4417368957748051
2012-05-31,0.011054556155984316,2.330104320083125,0.056022269176056,0.3250907439315276,0.2544533897449536,0.1704089678982837,0.09202237581020412,1.8438645837462593,10.805265524567297,14.54122690664004,2.2614137299935324,1.2332215922149898,0.17959954931220498,6.136998467432424,1.6922154747525122,0.9732514909200001,2.1486666534,5619.898173819718,-4.251842290440653
2012-06-30,0.0033715589240470595,1.6743457733330827,0.1283715345512086,0.21284318597814167,0.3019107510834781,0.1540195752225368,0.21428974292724576,2.167552382843081,11.910397923243579,16.34750960930317,1.6042420050726114,0.7743513925712315,0.20228695795252216,6.560810662606736,1.5281793377510402,1.5967830318,1.91009681964,5618.1290350992185,-5.532799018193132
2012-07-31,0.0009473835971764707,1.2941351121217257,0.005319296504818464,0.06045537537705229,0.06486178318980201,0.03280667325890782,0.010318643644788367,1.6946820637700015,12.20585204455233,16.35166493789562,1.1345911252963032,0.4340396920197522,0.03475235439507379,6.364165972706802,1.8249530382157824,2.0596278996,1.48893494148,5616.003696213984,-5.762715940324589
2012-08-31,0.0009473835971764707,1.0766690446231593,0.0009878237719619552,0.08735833797354971,0.10771779927598157,0.03856272456267239,0.01208596938062981,1.0952770819533804,12.167420719438512,17.252420857675396,0.6555232304126103,0.2474182136077051,0.049342530992959086,6.283612020617521,1.4756956078325758,1.17389798208,1.2648782334,5613.663192136172,-5.490949088293418
2012-09-30,0.0,0.9321891253135561,0.002595627095357835,0.24964592074774625,0.12470214353697225,0.042236916576925986,0.0035581121463901964,1.076917974184659,8.939343890250361,12.855449662054696,0.3606765847779286,0.17654625561579923,0.0845477440206785,4.681786873376689,0.8396389288802305,1.06127632416,1.1613226534799999,5611.307107345217,-4.570841025406176
2012-10-31,0.045630306838086276,0.8347046901711812,0.7324009591919619,1.060200174567294,1.0223200792510747,0.7248116006179544,0.8622070648137885,1.1980774903121318,5.437147496972885,7.883794518919387,0.29241173304533724,0.9882459034455343,0.8803879756884146,3.1599354285390553,0.7873948161764351,1.60941880092,1.0654553544,5611.056942114293,-2.90821970337183
2012-11-30,0.25459118916065887,2.8838145383853684,3.766049380354159,4.59503268373317,4.976302702392589,4.246408653640438,4.8012699326026285,0.7997226842951279,2.6014366012593007,3.8092715389753597,0.5244372527365608,1.9575944813692487,4.477012670544598,1.93849251172712,0.7372862178895873,1.41976385004,1.07844636576,5611.469463250425,-0.2060583329071224
2012-12-31,2.1625622546512315,6.282615661198959,7.62053217936188,7.616525388182882,6.777281298674572,6.617177969910857,8.636423972613562,1.0278204716971673,1.2912414707250297,1.7864323394863184,0.9522474449641614,1.5371197515418604,7.45358816174875,1.3189722956829075,2.02416417006889,1.1716271454,1.3598253563999998,5612.7749689486645,3.3069727772811417
2013-01-31,0.10717156474880002,6.051631719127643,1.0089790986466474,1.9213225504452007,1.9933828556101552,1.6291706954228407,1.1741127857380647,1.0818532914332617,1.817195725114567,2.632133718289318,1.0485741538216853,1.1002338213663123,1.5453935971725816,1.5359981420050288,1.0165822230583297,0.9057381966,1.40317477752,5613.460751875464,0.30787400257719844
2013-02-28,0.05945018986415687,5.463052509869077,0.5382909305761558,0.9696685706869447,1.2214906908439949,1.2481908072844168,0.7636512385764102,1.511182692412637,2.863416550402645,3.9684009422701014,1.4523759261463032,1.31988623673344,0.9482584475935845,2.2230524695930254,0.793804417641677,0.9022055098799999,1.41172032696,5613.782916646829,-0.8031614544191976
2013-03-31,0.10045700152621177,4.584479282229008,1.4801802764918994,2.5236616980629605,2.4232128390671694,2.257506098028023,1.608240695553034,2.090400333045358,5.023435099938089,6.610847935777221,2.1131434538208564,2.046354136477616,2.058560321440617,3.5768361918118288,0.9177422505246722,3.91087292148,1.5464693826,5613.786876632112,-3.767582369326471
