Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2000,10,01OCT2000,11900,218,26,128,193,2020,2367,14485,110,5996,4170,134,10410,2135,0,0,2135,3825,-5606,7695,1940,0.7,87,12465,84,87.3,
2000,10,02OCT2000,12000,226,26,147,182,2040,2395,14621,101,5179,4331,120,9731,2087,0,0,2087,3916,-4776,7726,2803,0.65,81,12581,78,87.53,
2000,10,03OCT2000,12000,235,26,140,251,1970,2387,14622,62,4997,4086,113,9258,2024,0,0,2024,4135,-4052,7533,3340,0.62,77,12652,74,87.64,
2000,10,04OCT2000,11900,236,26,137,271,2080,2514,14650,117,4994,4173,123,9407,2037,0,0,2037,3667,-4550,7899,3206,0.62,78,12570,74,87.76,
2000,10,05OCT2000,11900,233,25,140,282,2250,2697,14830,100,4993,4154,117,9364,1982,0,0,1982,3836,-4119,7742,3485,0.62,77,12580,72,87.83,
2000,10,06OCT2000,11200,225,23,153,249,2270,2695,14120,76,4495,4230,113,8914,1975,0,0,1975,3695,-3808,7177,3231,0.62,77,11850,73,87.94,
2000,10,07OCT2000,11200,204,23,157,239,2350,2769,14173,75,4497,4205,114,8891,1925,0,0,1925,3565,-3808,7300,3357,0.61,76,11823,72,88.02,
2000,10,08OCT2000,11200,195,23,155,216,2450,2844,14239,75,3996,4213,111,8395,1925,0,0,1925,3618,-3184,7238,3919,0.57,72,11789,67,88.0,
2000,10,09OCT2000,10600,173,24,158,189,2450,2821,13594,67,3989,4217,92,8365,1937,0,0,1937,3500,-3303,6731,3292,0.6,76,11144,70,88.08,
2000,10,10OCT2000,10900,156,40,197,208,2500,2945,14001,51,3967,4188,98,8304,1900,1146,0,754,3550,-2299,7295,4944,0.58,65,11501,57,87.91,
2000,10,11OCT2000,11200,138,67,185,169,2630,3051,14389,53,3326,4172,93,7644,1890,2522,0,-632,3559,-624,7956,7376,0.52,49,11759,37,87.48,
2000,10,12OCT2000,11800,130,71,180,187,2770,3208,15138,49,4995,4219,94,9357,1889,2522,0,-632,3737,-2001,8370,6414,0.61,58,12368,48,87.17,
2000,10,13OCT2000,11800,123,56,198,159,2640,3053,14976,53,5492,4227,84,9856,1892,2522,0,-629,3894,-2500,8205,5749,0.65,62,12336,53,86.94,
