Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2002,10,01OCT2002,12300,257,7,146,180,1330,1663,14220,76,2492,4335,79,6982,2132,0,0,2132,5310,-1396,6650,5105,0.48,64,12890,60,86.36,
2002,10,02OCT2002,11900,260,7,160,197,1250,1614,13774,64,2508,4330,84,6986,2072,0,0,2072,5090,-1629,6490,4716,0.49,66,12524,62,86.31,
2002,10,03OCT2002,11300,264,7,156,184,1250,1597,13161,66,1997,4320,67,6450,2041,0,0,2041,5260,-920,5733,4670,0.48,65,11911,61,86.26,
2002,10,04OCT2002,10900,261,8,151,182,1320,1661,12822,70,1992,4297,69,6428,2021,0,0,2021,5330,-751,5265,4373,0.49,66,11502,62,86.27,
2002,10,05OCT2002,10700,271,8,143,173,1340,1664,12635,72,1293,4320,62,5747,1990,0,0,1990,5300,-77,5114,4898,0.44,61,11295,57,86.19,
2002,10,06OCT2002,10300,262,8,137,148,1310,1603,12165,71,1292,4306,66,5735,1990,0,0,1990,5170,-255,4835,4441,0.46,63,10855,59,86.19,
2002,10,07OCT2002,9940,248,9,149,184,1310,1652,11840,70,999,4283,70,5422,1889,0,0,1889,5030,31,4629,4528,0.44,62,10530,57,86.17,
2002,10,08OCT2002,9470,249,8,149,184,1280,1621,11340,81,981,4278,88,5428,1912,0,0,1912,4850,-200,4334,4000,0.46,65,10060,60,86.24,
2002,10,09OCT2002,9180,250,7,123,184,1290,1604,11034,74,999,4440,82,5595,1927,0,0,1927,4680,-563,4210,3512,0.49,68,9744,64,86.38,
2002,10,10OCT2002,9090,247,7,113,177,1250,1547,10884,70,990,4359,72,5491,1874,0,0,1874,4530,-633,4282,3519,0.49,68,9634,63,86.52,
2002,10,11OCT2002,10200,259,8,115,163,1250,1536,11995,62,999,4232,77,5370,1872,0,0,1872,4530,-521,5405,4753,0.43,60,10745,56,86.45,
2002,10,12OCT2002,9900,244,7,114,172,1320,1613,11757,74,996,4308,80,5458,1872,0,0,1872,4520,-542,5100,4427,0.45,62,10437,58,86.44,
2002,10,13OCT2002,9830,224,6,117,184,1430,1737,11791,73,995,4262,79,5409,1875,0,0,1875,4470,-421,5059,4507,0.44,62,10361,56,86.41,
2002,10,14OCT2002,9620,224,7,122,151,1480,1760,11604,70,992,4309,76,5447,1825,0,0,1825,4490,-382,4843,4333,0.45,63,10124,57,86.41,
2002,10,15OCT2002,9340,236,8,126,139,1440,1713,11289,77,992,4299,73,5441,1850,0,0,1850,4330,-601,4728,3997,0.47,65,9849,59,86.46,
2002,10,16OCT2002,9470,237,8,127,103,1420,1658,11365,75,979,4207,70,5331,1833,0,0,1833,3209,-1656,5985,4201,0.45,63,9945,58,86.48,
2002,10,17OCT2002,9410,231,7,125,72,1350,1554,11195,71,982,4196,72,5321,1837,0,0,1837,2606,-2355,6521,4037,0.46,64,9845,59,86.52,
2002,10,18OCT2002,9410,214,8,123,58,1570,1759,11383,70,987,4349,69,5475,1789,0,0,1789,2801,-2078,6322,4118,0.47,64,9813,58,86.54,
2002,10,19OCT2002,9250,192,8,117,32,1840,1997,11439,64,983,4286,67,5400,1790,0,0,1790,3690,-877,5251,4249,0.46,63,9599,56,86.55,
2002,10,20OCT2002,9120,171,9,113,26,1990,2138,11429,71,995,4253,65,5384,1790,0,0,1790,4030,-380,4760,4255,0.46,63,9439,55,86.55,
