Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2003,10,01OCT2003,12600,288,7,109,176,1360,1652,14540,75,3462,4407,75,8019,2129,0,0,2129,5810,-1941,6482,4392,0.54,70,13180,67,89.29,
2003,10,02OCT2003,12800,258,7,116,194,1370,1687,14745,84,3498,4399,82,8063,2067,0,0,2067,5800,-1919,6679,4615,0.53,69,13375,65,89.09,
2003,10,03OCT2003,12400,250,8,117,183,1430,1738,14388,80,4002,4385,84,8551,2022,0,0,2022,5570,-2558,6514,3815,0.58,73,12958,71,89.03,
2003,10,04OCT2003,12200,234,7,115,187,1500,1809,14243,87,3502,4380,75,8044,2030,0,0,2030,5460,-2094,6406,4169,0.55,71,12743,67,88.91,
2003,10,05OCT2003,11900,213,7,119,190,1580,1896,14009,89,2996,4357,73,7515,1980,0,0,1980,5440,-1465,6119,4515,0.52,68,12429,64,88.74,
2003,10,06OCT2003,11500,217,8,120,174,1610,1912,13629,78,2968,4367,71,7484,2000,0,0,2000,5510,-1362,5647,4145,0.54,70,12019,66,88.64,
2003,10,07OCT2003,11500,220,9,118,168,1710,2005,13725,58,2964,4371,66,7459,1930,0,0,1930,5660,-1049,5520,4336,0.53,68,12015,64,88.52,
2003,10,08OCT2003,11500,220,8,119,188,1780,2095,13815,53,2995,4380,81,7509,1922,0,0,1922,5700,-963,5482,4384,0.53,68,12035,64,88.4,
2003,10,09OCT2003,11900,199,8,113,185,1730,2036,14135,52,2986,4375,95,7508,1930,0,0,1930,5640,-1087,5919,4697,0.52,67,12405,62,88.23,
2003,10,10OCT2003,11700,190,8,114,217,1730,2069,13959,61,3492,4154,91,7798,1885,0,0,1885,5540,-1414,5822,4276,0.55,69,12229,65,88.14,
2003,10,11OCT2003,11100,204,8,114,229,1650,2001,13305,73,3497,4548,79,8197,1885,0,0,1885,5420,-2001,5356,3223,0.6,76,11655,72,88.24,
2003,10,12OCT2003,11100,207,8,113,223,1660,2004,13311,69,3001,4364,83,7517,1885,0,0,1885,5280,-1458,5499,3909,0.55,71,11651,66,88.2,
2003,10,13OCT2003,10600,205,8,114,210,1680,2012,12817,75,2500,4381,84,7040,1897,0,0,1897,5140,-1121,5134,3880,0.54,70,11137,65,88.17,
2003,10,14OCT2003,10600,208,9,115,216,1680,2020,12828,90,2494,4374,87,7045,1834,0,0,1834,5040,-1178,5255,3949,0.53,69,11148,65,88.14,
2003,10,15OCT2003,10500,214,9,121,218,1710,2058,12772,85,1999,4391,93,6568,1837,0,0,1837,4910,-795,5290,4366,0.5,66,11062,61,88.04,
2003,10,16OCT2003,10900,185,8,119,225,1650,2002,13087,67,1993,4393,112,6565,1845,0,0,1845,4730,-1032,5838,4677,0.49,64,11437,59,87.9,
2003,10,17OCT2003,10500,177,9,114,170,1630,1923,12600,66,2490,4392,109,7057,1831,0,0,1831,4620,-1704,5544,3712,0.54,71,10970,66,87.92,
2003,10,18OCT2003,10300,166,9,113,152,2000,2274,12740,68,2487,4425,102,7082,1800,0,0,1800,4630,-1348,5332,3858,0.54,70,10740,64,87.91,
2003,10,19OCT2003,10900,135,8,113,167,2140,2428,13463,64,1443,4334,118,5959,1800,0,0,1800,4710,9,5821,5704,0.43,58,11323,50,87.65,
2003,10,20OCT2003,10600,130,9,116,157,2200,2482,13212,66,3502,4337,117,8022,1770,0,0,1770,4880,-1811,5354,3420,0.59,74,11012,69,87.73,
2003,10,21OCT2003,10500,119,9,115,142,2320,2586,13205,70,3328,4382,118,7898,1784,0,0,1784,5050,-1421,5070,3523,0.58,73,10885,68,87.79,
