Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2012,10,01OCT2012,12400,375,11,111,124,1070,1316,14091,183,3494,4364,76,8118,2085,0,0,2085,5290,-2867,6901,3888,0.55,72,13021,70,85.7,
2012,10,02OCT2012,12400,376,10,107,113,975,1205,13981,195,3495,4293,59,8043,2036,0,0,2036,6010,-2152,6196,3902,0.55,72,13006,70,85.81,
2012,10,03OCT2012,12100,344,10,108,107,1020,1245,13689,192,3488,4293,81,8054,1989,0,0,1989,6150,-1952,5737,3646,0.56,73,12669,71,85.95,
2012,10,04OCT2012,12700,284,10,106,107,993,1216,14200,175,3491,4274,98,8038,1988,0,0,1988,6230,-1885,6197,4173,0.54,71,13207,68,86.0,
2012,10,05OCT2012,14300,274,10,115,117,1070,1312,15886,173,3993,4283,112,8562,1940,0,0,1940,6190,-2321,7841,5385,0.52,66,14816,64,85.89,
2012,10,06OCT2012,14400,263,10,110,120,1120,1360,16023,169,4996,4280,214,9658,1880,0,0,1880,6180,-3340,7957,4485,0.57,72,14903,70,85.89,
2012,10,07OCT2012,14300,249,10,110,101,1170,1391,15940,163,4994,4275,103,9534,1897,0,0,1897,6140,-3236,7878,4509,0.58,72,14770,69,85.89,
2012,10,08OCT2012,14300,239,11,137,96,1270,1514,16053,175,4990,4268,94,9526,1894,0,0,1894,6200,-3043,7809,4633,0.57,71,14783,69,85.88,
2012,10,09OCT2012,14400,236,11,437,94,1250,1792,16428,179,5499,4316,88,10082,1892,0,0,1892,6260,-3260,7846,4454,0.59,73,15178,71,85.89,
2012,10,10OCT2012,13700,245,12,331,73,1280,1696,15641,179,5489,4412,100,10180,1839,0,0,1839,6320,-3359,7110,3622,0.63,77,14361,75,86.03,
2012,10,11OCT2012,13300,262,12,286,60,1440,1798,15360,164,5492,4420,87,10163,1844,0,0,1844,6400,-3163,6646,3353,0.64,78,13920,76,86.22,
2012,10,12OCT2012,13700,271,13,176,90,1520,1799,15770,162,4994,4410,92,9658,1846,0,0,1846,6290,-2769,7164,4266,0.59,73,14250,70,86.24,
2012,10,13OCT2012,12400,261,14,115,109,1480,1718,14379,159,3990,4406,86,8641,1849,0,0,1849,6110,-2015,6033,3889,0.58,73,12899,70,86.32,
2012,10,14OCT2012,11200,239,15,113,109,1570,1807,13246,159,2997,4412,87,7654,1798,0,0,1798,5830,-1186,5106,3794,0.56,71,11676,68,86.41,
2012,10,15OCT2012,10300,231,15,133,109,1840,2097,12628,185,2498,4417,88,7189,1806,0,0,1806,5510,-755,4515,3634,0.54,71,10788,66,86.52,
2012,10,16OCT2012,9650,223,15,299,109,2100,2523,12396,182,2483,4430,86,7181,1804,0,0,1804,5220,-611,4148,3411,0.55,72,10296,67,86.67,
2012,10,17OCT2012,9370,220,15,265,109,2170,2559,12149,179,1996,4433,87,6696,1796,0,0,1796,4970,-334,4117,3657,0.52,70,9979,63,86.76,
2012,10,18OCT2012,9200,227,16,224,109,2170,2519,11946,169,1999,4433,90,6691,1745,0,0,1745,4950,-356,3989,3510,0.53,71,9776,64,86.88,
2012,10,19OCT2012,9110,231,16,172,110,2170,2468,11809,147,1995,3801,88,6031,1743,0,0,1743,4830,135,4023,4036,0.49,66,9639,58,86.9,
2012,10,20OCT2012,9000,226,16,109,111,2220,2456,11682,150,1994,3492,83,5720,1744,0,0,1744,4750,353,3988,4218,0.46,64,9462,55,86.89,
2012,10,21OCT2012,9350,196,15,110,111,2430,2666,12212,137,1993,3508,91,5729,1747,0,0,1747,4750,552,4307,4737,0.45,61,9782,52,86.81,
2012,10,22OCT2012,10200,164,18,184,75,2790,3067,13431,135,1996,3461,83,5675,1751,2063,0,-312,4870,2465,5581,8068,0.4,40,10641,24,86.38,
2012,10,23OCT2012,11100,133,23,311,31,2730,3095,14328,118,1993,3535,70,5717,1702,2751,0,-1049,5060,3120,6467,9661,0.38,33,11598,17,85.87,
2012,10,24OCT2012,10800,129,51,274,32,2610,2967,13896,97,2499,3525,64,6185,1704,2751,0,-1047,5190,2653,6032,8758,0.43,37,11286,22,85.44,
2012,10,25OCT2012,11000,122,54,215,33,2810,3112,14234,96,3499,3525,50,7170,1705,2751,0,-1046,5320,1941,6095,8109,0.49,43,11424,29,85.09,
2012,10,26OCT2012,10400,119,40,170,33,2680,2923,13442,83,6486,3514,54,10136,1705,2751,0,-1046,5410,-1123,5402,4352,0.74,68,10762,60,85.16,
2012,10,27OCT2012,10300,91,33,121,33,2430,2617,13008,52,6674,3260,58,10044,1750,688,0,1062,5470,-2647,4624,1902,0.76,85,10578,82,85.76,
2012,10,28OCT2012,10000,41,28,123,34,2140,2325,12366,27,6673,1421,70,8192,1740,0,0,1740,5360,-1638,4194,2434,0.65,80,10226,76,86.17,
2012,10,29OCT2012,10000,35,27,125,33,1860,2045,12080,82,3590,3437,67,7176,1689,0,0,1689,5240,-988,4322,3215,0.58,73,10220,69,86.37,
2012,10,30OCT2012,9920,45,27,248,33,1610,1918,11883,95,2717,3511,61,6383,1684,0,0,1684,5140,-420,4353,3816,0.52,68,10273,63,86.46,
2012,10,31OCT2012,9700,48,26,211,33,1480,1750,11498,94,2988,3387,68,6537,1694,0,0,1694,5150,-738,4124,3267,0.55,72,10018,67,86.63,
2012,11,01NOV2012,10200,48,28,218,33,1400,1679,11927,72,2480,3538,78,6168,1691,688,0,1004,5110,-32,4857,4755,0.5,60,10527,55,86.56,
2012,11,02NOV2012,10300,53,29,175,33,1360,1597,11950,98,1996,3990,78,6163,1689,688,0,1001,5070,-146,5003,4786,0.5,60,10590,55,86.49,
