Unnamed: 0.1,fldas_aet,gldas_aet,modis_aet,tc_aet,nldas_etr,gldas_etr,gmet_etr,modis_pet,tc_pet,gldas_ssr,gldas_bfr,gldas_qsm,gldas,fldas_r,tc_r,p_prism,p_chirps,p_persiann,p_trmm,p_daymet,fldas_swe,gldas_swe,dmet_swet,gldas_sm,tc_sm,gldas_m,q_in,q_out,res_s,gmet_eto
2001-01-31,4.076606992023604,2.553392852346504,3.803093604181334,3.9178990743756814,8.197657173167935,6.093209464921782,8.655086481847519,11.809674401806054,4.076570062898196,0.2185901544252772,0.5382650643445224,1.316908450608743,2.0737636693785424,0.6138104552367151,0.9939147446312158,16.108940351424874,15.456440351467993,15.606873895864828,15.869959106163593,16.751653476161337,1.8811264818115063,1.4061638027391954,166.3394670814114,37.343912655366346,13.683823413968813,16.017710186767893,0.7631866760260607,0.9259512333600001,23.92623341016,5.7631307772090485
2001-02-28,5.418444426752863,3.6566156852017975,3.4914511465122646,4.720649280462609,8.973931550167068,6.8074883875828816,9.629796778800948,7.772500532930763,4.9702293137620845,0.5999623336338822,1.5376338883152119,2.733875474098795,4.871471696047887,1.0554328208044486,3.30102794225142,20.353715489986094,17.199414023091613,18.91732112583837,20.71855232467945,20.561219595309773,3.863001774006263,3.0153221037714406,235.4241831497153,40.45764475531696,18.94757078155947,16.460950774805035,0.915681258676224,0.9341551088400001,25.57779405528,6.856339869026718
2001-03-31,9.236697949087844,7.880228694038021,6.028298874523008,8.669927216994985,18.762288630302976,16.661255337488072,18.202017673954067,19.51868932714657,12.074107514747086,1.039280853859338,3.5870817963767534,5.097160415347764,9.723523065583855,1.6083694500572792,3.806445170900832,9.507888692145464,11.75678105019744,9.646274016903547,9.015745381891117,9.776323069442462,4.1902535845545295,3.374577479964915,316.7016106704527,52.197919651328256,18.812502422508725,20.752214473204265,1.0977427315427328,1.0697540322,28.06218066072,13.831323965223625
2001-04-30,9.832799392074907,10.616467201027532,4.924691469018856,9.299260423922547,23.64380101964077,25.981846410248288,21.208292979453585,18.06052222806337,15.294124569560244,0.2938567783602686,1.4787395404027992,1.4970131568794631,3.2696094756425307,1.0448176925473562,1.9591427477905567,10.405355678958967,8.846026287048998,8.959146459463698,10.005220557718227,10.435273625931316,1.700627441367471,0.6814650849305967,321.0980654964405,49.10574055087029,16.988079920166548,19.509192333331004,1.103427242606592,1.3972676418,29.29663757688,16.438340758724113
2001-05-31,11.892999838919609,14.09111851926019,6.2928651789866175,8.151635075649457,44.01960565972662,54.99802940735997,42.29876820568653,39.22845767839182,28.715317421184913,0.009683048009950464,0.7035757930483891,0.10383150916469304,0.8170903502230326,0.3985339460482488,2.091404444025475,0.2934325486750469,1.5563266867124697,0.6212818511581898,0.43587895836148816,0.2301296025118667,0.22415538070199306,0.021982698716627832,292.1858134830266,41.745013544911494,11.386107247762578,17.606792112752235,1.3964714139119618,1.55042145252,29.414795093040002,31.48235322609144
2001-06-30,8.458416243020258,9.32771317357755,3.0812278843709247,5.401944823385148,48.63121777170785,58.50325636663332,42.296725045948854,27.684521389302958,31.81205862047062,0.002188344362699881,0.3384972157531022,0.0014876998790729113,0.34217325999487497,0.02161930208578093,0.15215779029634507,1.1839376899954064,1.2203858790546005,1.2958748615131177,1.1014411857862159,1.1055424554179774,0.0007236141689667072,0.0012868436678865095,202.1936176147514,30.11765378306584,7.225921140935581,14.233435042284956,1.5338915684702203,2.113783839,25.82021728056,31.54870982229061
2001-07-31,6.186437960857508,6.279169930503877,5.406767079398704,2.6328445576657824,51.62093827474146,56.415856713786404,42.503334229863796,41.26560198131994,32.0866506867941,0.0007357459851520216,0.25460432830391977,0.0005315523039638779,0.2558716265930357,0.014512013573169025,0.05137955034854903,0.8498973719664649,0.7185858866821215,0.8054861508384333,0.7325251741532702,0.7049266532192316,0.0,0.002751131579363632,138.58280933577223,24.765122886707932,5.376640252941655,12.978347635328038,1.6664319382689794,1.05705288864,22.333133549640003,32.51783366126537
2001-08-31,3.43181373938995,3.1268692369779902,3.4886229173673664,1.0761772454128942,49.729374048084004,56.88068740569848,42.03965476472713,39.607966548400505,30.66319299710816,3.2591969527175584e-05,0.19841537425392106,0.0002640509668509252,0.1987120171902992,0.003439922158814611,0.0,0.03358959931054562,0.4961986801125894,0.11469795278682915,0.11498706622969365,0.04563823732269412,0.0,0.004120914892703965,84.9384706115065,20.672722507616765,4.359638087332241,11.858216187871545,1.262696846644224,0.8549188206,19.98522040488,31.096407008477588
2001-09-30,2.3183533471011732,2.027855252109454,3.475616481467534,2.326682112305192,38.03021974021193,43.59086520834033,32.058475190777585,31.668152677360748,22.53916259779927,0.007074932726670467,0.1603121966057656,0.00265825574917134,0.1700453850816074,0.057249023021273035,0.10416633697380392,1.53134534461345,2.2200273294273196,1.3202935540105405,1.428278008355533,1.3896981562581296,0.0,0.005193022322747725,47.9213191712953,18.39309224253548,3.690809573675169,11.005478936458983,0.8740908639848448,0.9757690236,18.910111836,23.126530145470237
2001-10-31,1.6096189282665936,1.6934750095775208,2.1855990365167943,3.3812245619193986,27.776322820358658,33.68643718201375,24.342450895137357,16.83635235144082,14.770470457528724,0.02481658061759398,0.14553911697574873,0.007298578639386508,0.17765427623272922,0.1369052396883628,0.1706745614014745,3.4968315186786336,4.410759185949223,3.0231302430265776,3.1321707926467672,3.713344422887924,0.003804186537144535,0.006525806089547499,31.28334370544093,18.914634537175512,3.2472123205808696,11.295301247173919,0.6886650127583231,1.19554308912,17.81897912844,16.570603426721444
