,cri,mas,gfz,csr,jpl,grace_median,gldas_sm,tc_sm,gldas_swe,fldas_swe,res_ts,swe,sm,grace,t,ts_savgol
2003-01-31,20.974964469995616,17.40079708266607,44.738072956077424,3.6240266144329025,2.862573502240316,3.6240266144329025,79.1353350608922,31.414123622266285,3.669352016787942,7.529371955162094,29.7737155704,5.599361985975018,55.274729341579246,,,
2003-02-28,5.263076460916533,4.041851453620448,29.32239506696346,23.966048996602005,16.67542401530346,23.966048996602005,73.21322662202587,32.27373944515043,1.3819324638386563,5.106672079715074,30.98917812804,3.2443022717768653,52.74348303358815,27.636892461151255,27.636892461151255,
2003-03-31,8.170356194361556,6.7179092286325695,18.02358886519689,14.507859391456321,12.84268341162942,14.507859391456321,81.30071392646718,30.108576459945468,0.9701807943393893,4.552263990224383,33.9125775342,2.761222392281886,55.704645193206325,9.106377705173127,9.106377705173127,
2003-04-30,8.584773186466576,6.818880236801625,9.334481010007254,19.442988096073325,14.47295563561589,14.47295563561589,81.05226642939648,29.70633226569085,0.8115448663212731,3.8841253979602346,36.51020253756,2.347835132140754,55.379299347543665,12.61406373805968,12.61406373805968,
2003-05-31,,,13.140678296816773,14.245609684054859,2.8063024004328616,13.140678296816773,77.8467354937497,21.79396482152971,0.26255685488570396,2.5522933826902876,38.77532203776,1.4074251187879958,49.82035015763971,17.374917999873485,17.374917999873485,
2003-06-30,-6.96350491826792,-5.826967298148026,,,,,55.69638200217246,13.132681700854766,0.00051087939660954,0.20228545132702422,37.91952867984,0.10139816536181688,34.414531851513615,,4.0455495132331905,
2003-07-31,-19.927174311705087,-17.168351568689484,-22.778530062359053,-23.154091593366687,-14.902450075690469,-22.778530062359053,42.61460034874436,8.875623567665192,6.426658286118965e-05,0.006509908134546204,33.1923485622,0.0032870873587036967,25.745111958204777,-9.283818973407106,-9.283818973407106,
2003-08-31,-33.141243681376935,-28.813616470491105,-33.37475138735077,-21.36858667427244,-29.879127632364987,-29.879127632364987,36.0010023037811,6.893464745965127,3.860306388969581e-05,0.0,29.8535402286,1.9301531944847905e-05,21.447233524873113,-22.239173079606562,-22.239173079606562,
2003-09-30,-27.57239673442974,-24.254191216987024,-24.729441135828186,-33.22732341121714,-35.715572533171844,-33.22732341121714,31.196197589414275,5.676001176942231,0.00043251434114890654,6.355452094135881e-06,28.2047475126,0.0002194348966215212,18.436099383178252,-28.567596686886958,-28.567596686886958,
2003-10-31,-33.29966752260926,-29.027885370509022,-36.72518713739421,-44.293102252121635,-45.73381520593684,-44.293102252121635,30.137733227742938,4.8554041548454645,0.0037170313531540876,0.0007688254937836756,26.73040217256,0.0022429284234688814,17.4965686912942,-41.88124971372443,-41.88124971372443,
2003-11-30,-11.34723599264885,-10.011487383988591,-62.63879663992278,-38.24419636284607,-41.01744033042576,-41.01744033042576,31.69571829618425,11.372237228525124,0.22343258119181128,1.1402642585327354,26.44126952664,0.6818484198622733,21.533977762354688,-45.44532224700505,-45.44532224700505,
2003-12-31,12.326582442816362,10.566918236898362,14.735153730169266,-19.861478825831153,-18.980094059128813,-18.980094059128813,54.23816167532569,28.246542263875465,1.5321303276784315,3.6371999677658615,28.48498553424,2.5846651477221467,41.24235196960058,-42.63500100183457,-42.63500100183457,
2004-01-31,,,,,,,72.75052315012236,29.155492534370786,5.262217544900216,9.17299906706042,30.33096112956,7.217608305980319,50.95300784224658,,-19.827121892244662,-16.67006402163331
2004-02-29,49.060149426112666,41.5474382552242,8.60667774550894,10.590677106312656,7.571390935555779,8.60667774550894,75.28381071059313,32.12571597495357,5.307000387348293,8.991763684446191,33.27335242728,7.149382035897242,53.70476334277335,2.980757217345243,2.980757217345243,-18.842291022256934
2004-03-31,20.588280898858148,17.400197890558207,20.28377495482536,19.86765961851983,19.892527905015992,19.892527905015992,82.71652515832477,27.937025090115068,2.7923086841597002,6.8328335938372255,35.49355105284,4.812571138998463,55.32677512421992,18.387128394908203,18.387128394908203,-23.42837772135604
2004-04-30,11.775781118519962,9.73278729649477,14.149047598726977,11.337775377251523,5.067378395492852,11.337775377251523,69.32997143141255,20.983852520291386,0.09502285497495545,1.5318109134697717,35.99992913028,0.8134168842223636,45.15691197585197,25.00041470295557,25.00041470295557,-25.135660761533092
2004-05-31,-7.418709950808862,-6.614294357192958,-1.0806430369235684,-5.1288867569839285,-5.581604366015669,-5.1288867569839285,58.6420787278251,14.889641610295818,0.011424501484227674,0.18566314878374712,35.0117253948,0.09854382513398739,36.76586016906046,4.9652418443759565,4.9652418443759565,-25.272046720448348
2004-06-30,-20.233882248528968,-17.778413445519657,-24.342578407593106,-20.54273990718556,-25.12803922300555,-24.342578407593106,45.88936234972787,9.974767424504373,0.002700641013044302,0.010449389728763659,31.39423322436,0.00657501537090398,27.93206488711612,-11.79932214544568,-11.79932214544568,-23.383433930329772
2004-07-31,-32.861559293096526,-28.912022548170167,-39.75659887812558,-41.03035748765983,-41.493216225217786,-41.03035748765983,37.16601046350043,7.373248256917585,0.0027380626164300458,0.0,27.0825274086,0.0013690313082150229,22.269629360209006,-31.05101016093002,-31.05101016093002,-20.69913917913072
2004-08-31,-31.552715893265617,-27.943952550893144,-40.76187216630947,-35.306431027419336,-55.72756798473969,-40.76187216630947,31.09983953190092,5.966147103704246,0.0035451964058905746,0.0,24.19396641156,0.0017725982029452873,18.532993317802582,-34.137078693757786,-34.137078693757786,-16.381373328055712
