,cri,mas,gfz,csr,jpl,grace_mean
2001-01-31,,,,,,
2001-02-28,,,,,,
2001-03-31,,,,,,
2001-04-30,,,,,,
2001-05-31,,,,,,
2001-06-30,,,,,,
2001-07-31,,,,,,
2001-08-31,,,,,,
2001-09-30,,,,,,
2001-10-31,,,,,,
2001-11-30,,,,,,
2001-12-31,,,,,,
2002-01-31,,,,,,
2002-02-28,,,,,,
2002-03-31,5.768901587285068,4.740615826020146,,,,5.254758706652607
2002-04-30,3.8254361851305343,2.9739779964204938,3.552148785650447,4.117087586986304,4.336765439330107,3.7610831987035773
2002-05-31,1.3242653222571676,0.9826363758513803,-2.2637295195626543,1.0850563841733245,-0.24123324559457576,0.17739906342492845
2002-06-30,-1.5487919175772238,-1.1539509475850607,-6.233387295183973,-2.4399827007901314,-4.220827305068264,-3.1193880332409307
2002-07-31,-4.8302935990092255,-3.8888728863788784,-8.553844354277354,-6.373408427970238,-7.474663807847901,-6.2242166150967195
2002-08-31,-7.962109202562974,-6.754855698297508,-8.631587673960786,-8.560714679577238,-7.347690304281611,-7.851391511736023
2002-09-30,-8.889954740023018,-7.562495378193889,-7.2218710689096275,-9.08321842814081,-5.376228026489719,-7.626753528351413
2002-10-31,-9.309189451572221,-7.9287995063103,-8.123718967334485,-10.113456557175526,-10.484824629781562,-9.191997822434818
2002-11-30,-3.1721761325545774,-2.8872810467822028,-8.053609169341836,-9.316055798319564,-10.528603003867257,-6.791545030173088
2002-12-31,1.4748913237957952,0.9928960730375832,-4.147062828572299,-6.318016806921173,-2.8950428712617304,-2.1784670219843645
2003-01-31,5.132969223653808,4.2372562019917215,10.075473174182031,0.5885629324229298,0.60145258859827,4.127142824169752
2003-02-28,1.4995528268103584,1.1821611638251646,5.97935108011568,5.085376456377109,3.18189315749213,3.385666936924088
2003-03-31,2.4505783369846896,1.9337514189755516,4.17479877765713,3.319646517984137,3.0418654464636963,2.9841280996130406
2003-04-30,2.5464429629340004,1.9465140545842943,1.8092687180593015,4.364657307035776,3.045416975462723,2.7424600036152187
2003-05-31,1.3495573557265004,1.079580106913814,2.4321022482879875,2.739875383799261,0.3149885495470342,1.5832207288549194
2003-06-30,-0.7878517716561869,-0.5822108413057497,-0.34204632881750885,-1.623078848465209,-1.2294837479132568,-0.9129343076315821
2003-07-31,-3.9353718498517516,-3.295836541521721,-4.722677885508357,-4.851675184305728,-2.8985461882960264,-3.9408215298967164
2003-08-31,-7.092541085040204,-6.030476282757234,-6.687558732942969,-4.022614862736323,-6.024392876928379,-5.971516768081022
2003-09-30,-5.462191698205758,-4.703985987645571,-4.766778501191636,-6.6954637884408,-7.154261702386655,-5.756536335574084
2003-10-31,-7.352815368627524,-6.2698770073538705,-7.722103258616045,-9.262962878693555,-9.498473548187214,-8.021246412295643
2003-11-30,-2.266709766003892,-1.9093470079161752,-13.546499288216694,-7.978294777691927,-8.705546528423925,-6.8812794736505225
2003-12-31,3.2498673309443453,2.7856210520105233,3.4483830686306582,-4.449322755420165,-4.208173333936595,0.16527507244575332
2004-01-31,10.670748695904827,8.903444656555942,5.263367680803284,-1.0568220695991155,-1.2962757102812186,4.4968926506767435
2004-02-29,12.75103519602477,10.5685053224389,1.4551488004685078,1.8619422505381371,1.234511976258006,5.574228709145665
2004-03-31,5.466238010062682,4.544146044298295,4.316049390748925,4.168065709181909,4.278463183201052,4.554592467498573
2004-04-30,3.1389827394692933,2.6061044663654065,2.5488025623977517,2.0407299485427846,0.598524011743317,2.1866287457037106
2004-05-31,-1.5771847058292936,-1.2841651731848578,-1.022839869832415,-1.6864102088894963,-2.107485999495064,-1.5356171914462255
2004-06-30,-4.495214594316048,-3.8124085290899457,-6.014040347153087,-5.004188300100452,-7.240268834347311,-5.31322412100137
2004-07-31,-7.548034473749698,-6.409630541656174,-9.210703547813083,-9.588786069831235,-9.696262622644559,-8.490683451138949
2004-08-31,-7.154399473900492,-6.112063655902149,-8.656119611342111,-7.830386661668891,-12.428980381706065,-8.436389956903941
2004-09-30,-8.489545432326343,-7.145683440358301,-5.094375289788774,-11.192059978595495,-11.249821416974749,-8.634297111608731
2004-10-31,-5.369096550547778,-4.61925048387101,-8.90239399853191,-10.69255779469771,-8.935508448863525,-7.703761455302387
2004-11-30,-3.7810728748896545,-3.2409231523207938,-6.298861897055017,-7.520704646636881,-5.264685591611919,-5.221249632502853
2004-12-31,5.287727532337723,4.165346730636612,-3.123348684938595,-3.9020274740972414,-2.7190364855874916,-0.05826767632979859
2005-01-31,8.504746274075515,6.838365408317625,4.287367004174923,5.111479865421199,6.056945961160524,6.159780902629957
2005-02-28,12.358414926399192,9.967639678763359,13.651038447646949,10.418078615230115,10.11758067582401,11.302550468772726
2005-03-31,12.29325478445284,9.991466509414026,10.728318381200271,12.46677643399795,10.9444580434431,11.284854830501638
2005-04-30,11.84202223808844,9.587709899073433,13.31521848347004,12.000756606655255,12.626358351719267,11.874413115801286
2005-05-31,7.017156528038255,5.669526860627295,11.43107320640707,11.943381637457925,11.25165955846039,9.462559558198187
2005-06-30,3.5071007024742475,2.7087155704925037,11.686558540350147,9.325311021279697,7.423784144925003,6.930293995904319
2005-07-31,0.5491946461801908,0.34270250803985725,5.081870326034562,5.384389776519453,2.7503410211429165,2.8216996555833957
2005-08-31,-0.963875505339118,-0.9552213881148194,3.1295920134612167,3.0811967142339856,4.0718396403843995,1.672706294925133
2005-09-30,-1.2092304373209286,-1.158643544575027,2.1535343321972515,-2.479240324380558,-1.4814419427019865,-0.8350043833562497
