,storage_km3
2014-08-31,0.94209008568
2014-09-30,0.87294119688
2014-10-31,0.79869556872
2014-11-30,0.76253363556
2014-12-31,0.98903756796
2015-01-31,0.9951876992400001
2015-02-28,1.18408035948
2015-03-31,1.20059295624
2015-04-30,1.22992264368
2015-05-31,1.1853557778
2015-06-30,1.02699668148
2015-07-31,0.79313010696
2015-08-31,0.64834669152
2015-09-30,0.61353418548
2015-10-31,0.5870254668
2015-11-30,0.56033172612
2015-12-31,0.70278509784
2016-01-31,1.05702945252
2016-02-29,1.19746731792
2016-03-31,1.52698779948
2016-04-30,1.8335618526
2016-05-31,1.96181046864
2016-06-30,1.82190299964
2016-07-31,1.32968157216
2016-08-31,1.11413957652
2016-09-30,1.034673861
2016-10-31,1.04608601796
2016-11-30,1.1625795696
2016-12-31,1.1413205418
2017-01-31,1.19489427864
2017-02-28,1.45373512272
2017-03-31,1.52167890156
2017-04-30,1.79524749684
2017-05-31,2.6356445574
2017-06-30,2.332541517
2017-07-31,2.1088930908
2017-08-31,1.77663305016
2017-09-30,1.53463660896
2017-10-31,1.33999593192
2017-11-30,1.4193284316
2017-12-31,1.34060280408
2018-01-31,1.42569688884
2018-02-28,1.36898764584
2018-03-31,1.849479912
2018-04-30,2.13920709528
2018-05-31,2.25009324684
2018-06-30,2.00203178448
2018-07-31,1.57479131688
2018-08-31,1.37615909856
2018-09-30,1.29164844984
2018-10-31,1.14837974784
2018-11-30,1.06849218216
2018-12-31,1.0574192322
