,dmet_swet,fldas_aet,fldas_r,fldas_swe,gldas,gldas_aet,gldas_bfr,gldas_etr,gldas_m,gldas_qsm,gldas_sm,gldas_ssr,gldas_swe,gmet_eto,gmet_eto_sum,gmet_etr,gmet_etr_sum,modis_aet,modis_pet,modis_pet_sum,nldas_etr,p_chirps,p_daymet,p_persiann,p_prism,p_trmm,q_in,q_out,res_s,tc_aet,tc_pet,tc_pet_sum,tc_r,tc_sm,aet_mean,pet_mean,et_mean,p_mean,sm_mean,r_mean,r_eff,swe_mean,et_eff,et_sum,cvw_ds,pet_irr_mean
2001-01-31,166.3394670814114,1.7924713015639495,0.6138104552367151,1.8811264818115063,2.0737636693785424,1.1617010010853235,0.5382650643445224,1.9051676389852281,16.017710186767893,1.316908450608743,37.343912655366346,0.2185901544252772,1.4061638027391954,2.2801093421693404,0.8095140018391969,3.323928204498334,1.175321330116103,2.3853352437832283,7.2833012495931975,2.6163109699324862,3.4296137569952325,15.456440351467993,16.751653476161337,15.606873895864828,16.108940351424874,15.869959106163593,0.7631866760260607,0.92595123336,23.926233410160002,2.353545419176057,2.194758624846377,0.7817674754849473,0.9939147446312158,13.683823413968813,1.9232632414021396,3.7705243552768124,2.846893798339476,15.958773436216523,22.34848208536768,1.1111688863181335,0.25287678908809097,1.6436451422753509,3.787866059535438,5.382913777372734,,1.40253081575221
2001-02-28,235.4241831497153,2.466373605347485,1.0554328208044486,3.863001774006263,4.8714716960478865,1.8461262048626708,1.537633888315212,2.3279950472952153,16.460950774805035,2.733875474098795,40.45764475531696,0.5999623336338822,3.0153221037714406,3.261378005749509,1.1729263745013359,4.560713480048747,1.6383597150355564,2.1580702898473163,4.79272995046139,1.7255319836803256,4.142600096324143,17.199414023091613,20.561219595309773,18.91732112583837,20.353715489986094,20.71855232467945,0.9156812586762241,0.93415510884,25.57779405528,2.981491328686682,2.9141190585217096,1.0462519977463551,3.30102794225142,18.94757078155947,2.3630153571860384,3.882235123695339,3.122625240440689,19.55004451178106,25.28872210389382,2.535903429444995,0.7808330839546871,3.439161938888852,3.4729737418233215,5.583070070963574,8.7555982008581,1.3149034519760054
2001-03-31,316.7016106704527,4.4513333547286456,1.6083694500572792,4.1902535845545295,9.723523065583855,4.402666151812901,3.5870817963767534,5.714905564575348,20.752214473204265,5.097160415347764,52.197919651328256,1.039280853859338,3.374577479964915,6.8902065079373385,2.471864980755459,9.061821765803504,3.245216839643844,3.494852325143091,9.991387256149151,3.58491774042995,8.190870294752079,11.75678105019744,9.776323069442462,9.646274016903547,9.507888692145464,9.015745381891117,1.0977427315427328,1.0697540322,28.06218066072,3.6160158455976656,6.351768687449821,2.277896057635365,3.806445170900832,18.812502422508725,3.9912169193205758,8.073796054334954,6.032506486827765,9.940602442116006,30.587545515680414,4.059020104521174,1.2133964344136081,3.782415532259722,6.2730785847500155,11.579895618464617,-5.528693785431473,2.7782262596069245
2001-04-30,321.0980654964405,4.154953096332038,1.0448176925473562,1.700627441367471,3.2696094756425307,5.128579509249074,1.4787395404027992,8.815824637549056,19.509192333331004,1.4970131568794631,49.10574055087029,0.2938567783602686,0.6814650849305967,9.219012305042284,3.3197167138953723,12.002101657007989,4.322608690678299,2.5798808187779523,9.81583076170733,3.5227125712797993,11.27405691513373,8.846026287048998,10.435273625931316,8.959146459463698,10.405355678958967,10.005220557718227,1.103427242606592,1.3972676418,29.29663757688,3.962527619298485,8.954886866712968,3.2172323630746655,1.9591427477905567,16.988079920166548,3.956485260914387,9.997957897617644,6.977221579266015,9.730204521824241,28.534337601455945,1.844249289646759,0.6566577399972662,1.1910462631490337,5.933101368194564,14.382270338928137,5.809955779004834,3.353220549416612
2001-05-31,292.1858134830266,3.8330450565177543,0.3985339460482488,0.22415538070199306,0.8170903502230326,5.712984832908341,0.7035757930483891,19.84445121005429,17.606792112752235,0.10383150916469304,41.745013544911494,0.009683048009950464,0.021982698716627832,20.37646430012005,7.341336143771597,27.823721335957636,10.028937946322781,2.877771219316656,23.15939013745802,8.320978297746072,23.412275560190608,1.5563266867124697,0.2301296025118667,0.6212818511581898,0.2934325486750469,0.43587895836148816,1.3964714139119618,1.55042145252,29.41479509304,1.4936592111350966,18.029693544094243,6.474225042962133,2.091404444025475,11.386107247762578,3.4793650799694618,22.34731732940749,12.913341204688475,0.6274099294838122,23.579304301808765,1.1758750385521795,0.6173651096141117,0.12306903970931045,10.256617714143257,32.16547743080258,-5.274776230252541,7.3788464948266
2001-06-30,202.1936176147514,2.031619363718288,0.02161930208578093,0.0007236141689667072,0.34217325999487497,3.1639425676107913,0.3384972157531022,24.96530822752537,14.233435042284956,0.0014876998790729113,30.11765378306584,0.002188344362699881,0.0012868436678865095,24.367116560298406,8.80403003680993,33.2757363080036,12.041130866125572,1.3109282758382934,19.380578281516463,6.963436357744979,30.827721342677034,1.2203858790546005,1.1055424554179774,1.2958748615131177,1.1839376899954064,1.101441185786216,1.5338915684702203,2.113783839,25.82021728056,0.9584309262745601,23.55071959422833,8.462846830782375,0.15215779029634507,7.225921140935581,1.8662302833604831,25.1435376860117,13.504883984686092,1.1814364143534637,17.192336655428793,0.5124604802118053,0.04033964961501346,0.0010052289184266084,9.38769935095072,36.271444091462854,-0.21643750594640404,8.076771075112427
2001-07-31,138.58280933577223,1.2443491997062883,0.014512013573169025,0.0,0.2558716265930357,1.747402720822561,0.25460432830391977,24.41322422859012,12.978347635328038,0.0005315523039638779,24.765122886707932,0.0007357459851520216,0.002751131579363632,25.367917232176712,9.146063537832028,33.70668914573798,12.174080480021676,2.6107065751881287,29.198090758644227,10.485695123363431,33.30655845240031,0.7185858866821215,0.7049266532192316,0.8054861508384333,0.8498973719664649,0.7325251741532702,1.6664319382689794,1.05705288864,22.333133549640003,0.45918184146984165,23.92912871132314,8.597000802744203,0.05137955034854903,5.376640252941655,1.5154100842967049,28.050456461970516,14.78293327313361,0.7622842473719043,14.373370258325876,0.4970487821959333,0.016160641746680138,0.001375565789681816,12.020293063168015,40.40283994396134,-6.009381913284451,9.409586487979887
2001-08-31,84.9384706115065,0.6869670438686619,0.003439922158814611,0.0,0.1987120171902992,0.8680980789223844,0.19841537425392106,24.566957033507357,11.858216187871545,0.0002640509668509252,20.672722507616765,3.2591969527175584e-05,0.004120914892703965,24.207386274245707,8.7304631242404,33.046465896549186,11.931009278123305,1.6888456368850824,28.407159026709614,10.212018794470092,31.890990150758434,0.4961986801125894,0.04563823732269412,0.11469795278682915,0.03358959931054562,0.11498706622969365,1.262696846644224,0.8549188206,19.98522040488,0.28227446858049254,22.944251009117846,8.245142289668081,0.0,4.359638087332241,0.8815463070641554,27.151315551655586,14.01643092935987,0.1610223071524704,12.296858927606849,0.3662121964983345,0.0008504885063792544,0.0020604574463519826,10.75138703967794,39.11863348650188,-7.02154396930311,9.062541402792858
2001-09-30,47.9213191712953,0.4807506704295751,0.057249023021273035,0.0,0.1700453850816074,0.5531631220668839,0.1603121966057656,17.711527216539785,11.005478936458983,0.00265825574917134,18.39309224253548,0.007074932726670467,0.005193022322747725,16.8529302500983,6.076202320406669,23.46090757067099,8.465673791100905,1.557794681561249,21.220764509099443,7.634539433067739,22.391841593187884,2.22002732942732,1.3896981562581296,1.3202935540105405,1.53134534461345,1.428278008355533,0.8740908639848448,0.9757690236,18.910111836,0.5111252124017444,15.665034074274057,5.627928017680956,0.10416633697380392,3.690809573675169,0.7757084216148631,19.299909101035695,10.037808761325278,1.5779284785329946,11.029793584223212,0.30138790226538226,0.034061923195113586,0.0025965111613738623,8.004017938613037,27.80434356225627,-5.060220625131427,6.446223257051789
2001-10-31,31.28334370544093,0.42433503793580174,0.1369052396883628,0.003804186537144535,0.17765427623272922,0.5076062452544534,0.14553911697574873,11.373121686422964,11.295301247173919,0.007298578639386508,18.914634537175512,0.02481658061759398,0.006525806089547499,9.812435148933973,3.520242459613303,14.35289606392518,5.142528048122534,0.9635439257897161,10.019844710611485,3.604836576824179,13.551729163971286,4.410759185949223,3.7133444228879235,3.0231302430265776,3.4968315186786336,3.1321707926467672,0.6886650127583231,1.19554308912,17.81897912844,0.9466843845298699,8.361005017819915,2.9935387932810613,0.1706745614014745,3.2472123205808696,0.7105423983774604,10.636545235322638,5.673543816850049,3.555247232637825,11.152382701643432,0.2934747725202224,0.05612183344044683,0.005164996313346017,4.336416535695897,15.261145877841077,-1.0107372871902651,3.372872609906181
