,cri,mas,gfz,csr,jpl,grace_mean
2003-01-31,20.974964469995616,17.40079708266607,44.738072956077424,3.6240266144329025,2.862573502240316,17.920086925082465
2003-02-28,5.263076460916533,4.041851453620448,29.32239506696346,23.966048996602005,16.67542401530346,15.853759198681184
2003-03-31,8.170356194361556,6.7179092286325695,18.02358886519689,14.507859391456321,12.84268341162942,12.052479418255352
2003-04-30,8.584773186466576,6.818880236801625,9.334481010007254,19.442988096073325,14.47295563561589,11.730815632992934
2003-05-31,2.593080993997242,1.9983079638634607,13.140678296816773,14.245609684054859,2.8063024004328616,6.95679586783304
2003-06-30,-6.96350491826792,-5.826967298148026,0.038645664007361136,-6.883067217583681,-5.554933454240649,-5.0379654448465825
2003-07-31,-19.927174311705087,-17.168351568689484,-22.778530062359053,-23.154091593366687,-14.902450075690469,-19.586119522362157
2003-08-31,-33.141243681376935,-28.813616470491105,-33.37475138735077,-21.36858667427244,-29.879127632364987,-29.315465169171244
2003-09-30,-27.57239673442974,-24.254191216987024,-24.729441135828186,-33.22732341121714,-35.715572533171844,-29.09978500632679
2003-10-31,-33.29966752260926,-29.027885370509022,-36.72518713739421,-44.293102252121635,-45.73381520593684,-37.815931497714196
2003-11-30,-11.34723599264885,-10.011487383988591,-62.63879663992278,-38.24419636284607,-41.01744033042576,-32.65183134196641
2003-12-31,12.326582442816362,10.566918236898362,14.735153730169266,-19.861478825831153,-18.980094059128813,-0.2425836950151954
2004-01-31,41.98472686028079,35.70876565523774,27.801911890953313,-2.8375000252946574,-4.385999738784288,19.65438092847858
2004-02-29,49.060149426112666,41.5474382552242,8.60667774550894,10.590677106312656,7.571390935555779,23.47526669374285
2004-03-31,20.588280898858148,17.400197890558207,20.28377495482536,19.86765961851983,19.892527905015992,19.606488253555504
2004-04-30,11.775781118519962,9.73278729649477,14.149047598726977,11.337775377251523,5.067378395492852,10.412553957297217
2004-05-31,-7.418709950808862,-6.614294357192958,-1.0806430369235684,-5.1288867569839285,-5.581604366015669,-5.164827693584997
2004-06-30,-20.233882248528968,-17.778413445519657,-24.342578407593106,-20.54273990718556,-25.12803922300555,-21.605130646366568
2004-07-31,-32.861559293096526,-28.912022548170167,-39.75659887812558,-41.03035748765983,-41.493216225217786,-36.81075088645398
2004-08-31,-31.552715893265617,-27.943952550893144,-40.76187216630947,-35.306431027419336,-55.72756798473969,-38.25850792452545
2004-09-30,-36.210856475800334,-31.408533919141117,-25.498594367395167,-50.71169570627496,-50.74024690426077,-38.91398547457447
2004-10-31,-23.479884409785594,-20.570482997637843,-41.94466438729531,-50.1491673700737,-41.677050094719554,-35.5642498519024
2004-11-30,-15.5588091219567,-13.589607970012667,-29.582859698974506,-35.414693386895685,-26.18285534332155,-24.06576510423222
2004-12-31,18.86120094106552,15.867607095596743,-14.141951316236614,-16.797356738227403,-10.976104352493271,-1.437320874059005
2005-01-31,31.382433331580717,26.68327050027022,16.13082707708907,20.045648140178397,23.557355086675354,23.55990682715875
2005-02-28,45.5587592282159,38.79816641527019,55.41734519449761,42.053929273765704,39.630393511910576,44.29171872473199
2005-03-31,46.375494998327504,39.65715824795902,42.66436030954383,49.79217895655829,43.62693443907825,44.423225390293375
2005-04-30,45.302814250192675,38.636453019476306,55.15259301988952,49.062588537731855,51.57687305924017,47.94626437730611
2005-05-31,24.79645823179112,21.145220259145468,48.50107849668036,50.81914938488132,47.75456187664532,38.60329364982872
2005-06-30,9.913368440055153,8.193839217887165,48.28606271604837,38.502677159868746,30.284695320695498,27.03612857091099
2005-07-31,-2.5429310391175823,-2.1487464852708364,18.806595013599235,20.376553838158824,8.97328215862983,8.692950697199894
2005-08-31,-9.110987744051652,-7.754336073560464,9.113952079404028,8.432654107715928,12.145078948929996,2.565272263687567
2005-09-30,-8.919096631192062,-7.966533752187313,3.0662914907409933,-17.251015333845427,-12.642347327027379,-8.742540310702235
2005-10-31,-14.90318330859402,-13.341342389400486,3.8420793934279094,-14.839851960046024,-15.395740152472632,-10.927607683417051
2005-11-30,2.8029676811308284,1.9439148646272315,-4.7466665579467255,-12.353756661403711,-16.71749740145943,-5.814207615010361
2005-12-31,43.10443215278675,36.57874344719158,12.382070570752447,1.8314908693003353,9.207351611303936,20.62081773026701
2006-01-31,42.420992593196864,35.97830382886688,38.99068094334852,39.30602507056233,34.716833388688755,38.28256716493267
2006-02-28,53.627223097931775,46.05754216606423,36.451121508178254,34.21006825792257,36.318163959432916,41.332823797905945
2006-03-31,70.78417808150304,60.87310891936497,38.2148903041051,54.48475883276016,48.71600162513286,54.61458755257322
2006-04-30,43.01968405830366,36.747488056658334,58.02173819449646,64.89119001154738,62.07521628496152,52.951063321193466
2006-05-31,30.92889919913584,26.248344703932425,40.18920874977543,50.52412128443739,40.813681308135585,37.74085104908333
2006-06-30,22.798234674328498,19.614050060599574,33.590879590250346,34.28421364428682,27.006977758319575,27.458871145556962
2006-07-31,8.194839638431784,6.990633145019264,20.428175418596908,17.72638347909667,23.478271305586325,15.363660597346188
2006-08-31,-2.5964132784757505,-2.6122291728173113,6.984688702326453,8.398234470297737,8.114980905769684,3.657852325420162
2006-09-30,-11.86181614418383,-10.566163473995692,-9.702475227018546,-1.777367838162384,-2.0686113078560076,-7.195286798243292
2006-10-31,-7.111595200450761,-6.789288021999279,-16.101709969279778,-1.4819828496801093,-6.817004952823908,-7.6603161988467665
2006-11-30,9.789681705503003,7.952487051886945,2.9085185219651706,-7.141404753608847,-3.6988678260063272,1.9620829399479889
