,et_multiplier
2008-01-31,0.5805560669234872
2008-02-29,0.611898138446928
2008-03-31,0.6413157444469975
2008-04-30,0.7060725476896347
2008-05-31,0.8208978041460654
2008-06-30,0.975608084614415
2008-07-31,1.0168792527597144
2008-08-31,1.0313834597469163
2008-09-30,0.9511324557892791
2008-10-31,0.782657889088358
2008-11-30,0.6387537695425878
2008-12-31,0.5340437053233513
2009-01-31,0.5822636231834734
2009-02-28,0.6158710908942882
2009-03-31,0.645458967003677
2009-04-30,0.7131716499632333
2009-05-31,0.8228466915076454
2009-06-30,0.972388909178915
2009-07-31,1.0119138666483323
2009-08-31,1.0257416857367574
2009-09-30,0.9494772821600165
2009-10-31,0.7853839575271
2009-11-30,0.6432140691476855
2009-12-31,0.5375947690514037
2010-01-31,0.6038391558577298
2010-02-28,0.6301368713183414
2010-03-31,0.6570404415344921
2010-04-30,0.7192332909408046
2010-05-31,0.8279306649950481
2010-06-30,0.9725578062333031
2010-07-31,1.0171035254215712
2010-08-31,1.0392045634281106
2010-09-30,0.9657404436189229
2010-10-31,0.802335970247165
2010-11-30,0.6586180208431177
2010-12-31,0.5489727932915532
2011-01-31,0.5999627609948223
2011-02-28,0.6255892631304614
2011-03-31,0.6505000125726508
2011-04-30,0.712518798702178
2011-05-31,0.8239377688045868
2011-06-30,0.976346087282856
2011-07-31,1.019037490966885
2011-08-31,1.0347614894126067
2011-09-30,0.949533544202664
2011-10-31,0.7806871399228432
2011-11-30,0.637264030992272
2011-12-31,0.557415675842577
2012-01-31,0.5920742805023109
2012-02-29,0.6213383296037693
2012-03-31,0.6486407795676383
2012-04-30,0.7140357102593502
2012-05-31,0.8241969113921964
2012-06-30,0.9763677914905757
2012-07-31,1.0175174465582213
2012-08-31,1.0314386309382924
2012-09-30,0.9475151290798913
2012-10-31,0.7806136368245077
2012-11-30,0.6388149066724084
2012-12-31,0.5478378698774609
2013-01-31,0.5894098257699517
2013-02-28,0.6243180836856422
2013-03-31,0.6539137041528418
2013-04-30,0.7221143784830606
2013-05-31,0.8301793310799093
2013-06-30,0.979315447765198
2013-07-31,1.0177205502340432
2013-08-31,1.0293684290415783
2013-09-30,0.9482554318906125
2013-10-31,0.7885592975252559
2013-11-30,0.6406529641544874
2013-12-31,0.5440368035008916
2014-01-31,0.5999187416385424
2014-02-28,0.6344665514279475
2014-03-31,0.6667199153112555
2014-04-30,0.731966422432987
2014-05-31,0.8384426619747443
2014-06-30,0.9821384424660708
2014-07-31,1.0161588212537287
2014-08-31,1.0250500062871777
2014-09-30,0.956171883145803
2014-10-31,0.796499350322282
2014-11-30,0.6582706517380483
2014-12-31,0.5567447857710245
2015-01-31,0.6087605860121235
2015-02-28,0.6488276475015236
2015-03-31,0.6817465615550082
2015-04-30,0.7463545658274786
2015-05-31,0.8472204717166486
2015-06-30,0.9846733879042393
2015-07-31,1.015453228912057
2015-08-31,1.0234870283370339
2015-09-30,0.9651825502911454
2015-10-31,0.8107469734535013
2015-11-30,0.6638735489766839
2015-12-31,0.5663076520526897
2016-01-31,0.5921788542551243
2016-02-29,0.6338780862896316
2016-03-31,0.6671405319369854
2016-04-30,0.740196755635307
2016-05-31,0.8453224763907714
2016-06-30,0.9867868679855587
2016-07-31,1.0184934717909067
2016-08-31,1.026459002850763
2016-09-30,0.9610406771997657
2016-10-31,0.8021270437887728
2016-11-30,0.6448981680576065
2016-12-31,0.5500898103685099
2017-01-31,0.5814301929741653
2017-02-28,0.6288964107154179
2017-03-31,0.6630629869662621
2017-04-30,0.7313481889958747
2017-05-31,0.83363358794472
2017-06-30,0.9793638175670388
2017-07-31,1.0137859424567202
2017-08-31,1.0263526910893603
2017-09-30,0.9636476449535261
2017-10-31,0.8034476312395699
2017-11-30,0.6292680418368595
2017-12-31,0.536251277016537
2018-01-31,0.5993782625335694
2018-02-28,0.6417039180577474
2018-03-31,0.6727417301960493
2018-04-30,0.7411427600718238
2018-05-31,0.8476766147062561
2018-06-30,0.9982365715848875
2018-07-31,1.0301070636805019
2018-08-31,1.0320738558304448
2018-09-30,0.9455482177653535
2018-10-31,0.787599322676676
2018-11-30,0.6312710899040199
2018-12-31,0.5572425228526189
