,fldas_aet,gldas_aet,modis_aet,tc_aet,nldas_etr,gldas_etr,gmet_eto,gmet_etr,modis_pet,tc_pet
2001-01-31,0.2679160963314637,0.17563802857382807,0.3531089403389992,0.3486743979273036,2.13597223949735,1.5840833351991037,1.12254657940711,1.630910107153118,3.3867973821215123,1.0813349876378604
2001-02-28,0.36495350077755473,0.27337120148128163,0.3137020439760816,0.442246529933553,2.449493741281508,1.837653331669859,1.5357477461084186,2.144755760995885,2.2664193723685147,1.36703518203904
2001-03-31,0.6632785448310694,0.6526053137102498,0.5169421625291797,0.5659186521850981,4.6212877430515915,4.28160066526349,3.0934391412367375,4.065100644951909,4.484457792017669,2.848867888590607
2001-04-30,0.6318654019506204,0.7801954044220284,0.38895658962743224,0.6094806909241224,5.787035117849635,5.966640897462042,3.7696523568299476,4.914010749920473,4.000417273506636,3.6580390574059924
2001-05-31,0.6301007004331013,0.8920985327123856,0.44391126370183537,0.2495544857885114,10.350040902498852,11.607761901861357,7.1741648754433065,9.804902512742949,8.136875317963193,6.330578141023775
2001-06-30,0.36702577491215405,0.5120130013731593,0.2051824876993757,0.16749359999016158,11.463402365913405,12.344859829590842,7.237653958165583,9.897279906759252,5.726445287874561,6.965039288956085
2001-07-31,0.235452152894605,0.2920091583676704,0.398934487445986,0.07832553158174119,11.828095797977305,11.508301629608752,7.189234164261578,9.557429351126611,8.278463869395829,6.77513668017654
2001-08-31,0.1268739025030951,0.1432983444508868,0.2558216431736471,0.04671088501017098,11.161444519538794,11.449734662389783,6.774395146657869,9.252956266986775,7.951647989876055,6.410481427890499
2001-09-30,0.084588665960448,0.09308271646667672,0.2358817312864377,0.09004799590841726,8.497722299364078,8.969540570219703,5.116410263914367,7.124332356144792,6.459827853961336,4.748183689230056
2001-10-31,0.0698818155641487,0.08644780542651756,0.14809331757778826,0.1623859217677051,6.232643703118772,6.957678173247676,3.609398858951639,5.272885175863958,3.7051394313958905,3.072767187338743
2001-11-30,0.23795517336813418,0.14338850937061684,0.22473938557168943,0.4716011539174903,2.7546451894971664,2.3905907684277956,1.4442974908029178,2.0368827126014715,2.853744010032791,1.593221728497343
2001-12-31,0.24008524974536172,0.1256568676549413,0.21027355870428868,0.3208582691627169,1.624134382216966,1.0939722753670975,0.9391338078893805,1.3521600759885875,1.5376141851756426,1.011058373999034
2002-01-31,0.2678928815947258,0.19532381118060874,0.23199140410267613,0.2539791066674197,1.8722075990871452,1.6702459696432093,1.0614551793690499,1.5047519605171034,2.1114398228275206,0.9906307230374654
2002-02-28,0.3853313681942175,0.3373646100130321,0.32597872627109653,0.30216258721671535,2.5488996779143362,2.7333360782756477,1.7132432281070715,2.355743737675792,3.5159216109547926,1.6260254365916866
2002-03-31,0.5592798539895898,0.6358159081116472,0.4341825032971044,0.511129797368571,4.314410554267724,4.711477454124776,2.916813117178731,3.916760712288334,4.262130293376101,2.7324470519836113
2002-04-30,0.6004286461568178,0.7379320136553617,0.38785912693940716,0.43070190086666044,5.954942930861388,6.7497014765895464,3.90943694385197,5.096088899108907,4.194074533083659,3.8117656253211116
2002-05-31,0.5169951776514301,0.7264769790852955,0.4566590490648095,0.40097769704789343,8.87415821009131,9.766871477753078,6.006010489880987,7.963334775179372,7.226983233291846,5.537617762999519
2002-06-30,0.41104070735790166,0.5450071244272389,0.426188221966055,0.1826141315152314,11.2129106155422,12.535779320934875,7.218188026544204,9.730783872843109,8.626347094785809,6.786749671748067
2002-07-31,0.2660334960163663,0.2852722720823475,0.3249420742680095,0.09289777383303531,12.114534786472545,12.95094537411135,7.475338735456487,9.991552706146384,8.547119617108333,7.073989125095505
2002-08-31,0.13557890272296766,0.13248939488391942,0.2315359698397867,0.0542583989492957,11.095301416311358,11.651748196556676,6.593014950692163,8.951076705398476,7.927126798341222,6.310419369026259
2002-09-30,0.07133818684308975,0.06194772556606046,0.2051894404164267,0.041251339749496484,8.68347898570238,9.585580064112895,5.1948844066357465,7.392652803447144,6.617104918981372,4.7949257871291735
2002-10-31,0.05367011297080903,0.030049343092087295,0.14481995907473572,0.02814034212181334,5.91541212505908,6.662648435591114,3.371702066200559,4.890470102333443,3.4546425414555606,2.928032258401782
2002-11-30,0.18002821584433107,0.18700820214199976,0.1922400339221083,0.4686221194356456,3.029603879964393,3.3944552404205255,1.6946923390677877,2.530474083780213,3.327944026518388,1.671370178345161
2002-12-31,0.22350202551243445,0.1919792351171735,0.2066549813352408,0.35071282507133494,1.7350360984450315,1.5735871605199288,0.9174767045396303,1.3172948614000881,1.6036447011908268,1.0741995661958526
2003-01-31,0.2653351283154938,0.24473151605430965,0.275258868908273,0.2409249293042949,1.9846888702929726,2.1429970638088895,1.0780850498971035,1.4648121821426785,2.4274997370008604,1.1393761446695154
2003-02-28,0.3981242212711433,0.3720241416675397,0.34041570946670435,0.3925058228657695,2.7347014572356865,2.9220684977067384,1.6573644408607886,2.2963279606922136,2.894744815260612,1.4277143863906385
2003-03-31,0.5817804974992956,0.7256126174717066,0.4910588587859326,0.5537376586081381,4.445395177028725,5.150800439142566,3.049722098461205,4.064743102025195,4.235611621102934,2.9731447039345444
2003-04-30,0.545828193437723,0.7258633419667133,0.4014777935972393,0.6905343360819202,5.040350941565893,5.1622317159716715,3.146033892828901,4.031149042153275,3.576260114230413,3.194625846127034
2003-05-31,0.6240941298479614,0.971967187185508,0.5538054910622621,0.5876242463491014,8.063737429785343,9.359056690875809,5.61668330897732,7.367356957026213,6.921589492257733,5.328448966137175
