,cri,mas,gfz,csr,jpl
2003-01-31,28.397398701522302,23.4623215365641,19.54011423046127,1.0533949444864512,1.4254516712084886
2003-02-28,8.272164522614078,6.531667648119116,11.447963781238155,9.824293879053881,6.312379079086608
2003-03-31,13.462798260023607,10.642343418447469,8.132586299623824,6.480152230096425,6.071443218434942
2003-04-30,14.047324533553352,10.764700359720637,3.6569832563224987,8.571975867476873,5.901176821509302
2003-05-31,7.198665345726034,5.751989760139513,4.671434625117495,5.297465428989806,0.6562830377844158
2003-06-30,-4.316195151970876,-3.1928138849489716,-0.38115853515565423,-3.5742713603855436,-2.370356391917813
2003-07-31,-21.66454795986115,-18.15447198654731,-9.151935914028801,-9.461490309598707,-5.69950461572102
2003-08-31,-39.052761554943004,-33.21942442688993,-13.079104055500519,-7.885793518779556,-11.721633447332636
2003-09-30,-30.135724073665134,-25.957580518614076,-9.344949964257964,-13.06043935155547,-13.911751793021025
2003-10-31,-40.503786876945135,-34.55321098149725,-15.133177511160467,-18.06639800315413,-18.527537576283702
2003-11-30,-12.443048068952695,-10.488367145089999,-26.149155081206345,-15.511828728443433,-16.947097468955548
2003-12-31,17.935150531909567,15.37764111334698,6.734239528375738,-8.745535225012235,-8.342110540778435
2004-01-31,59.42595427160677,49.61794769323,11.39067940165183,-2.2515898582468736,-2.8546455808039846
2004-02-29,70.22751425906614,58.26298277566472,2.8072352565797667,3.561109756282734,2.315933324385295
2004-03-31,30.113822974114274,25.05607170910008,8.421246383043338,8.074764809745941,8.295981560146032
2004-04-30,17.41408903248534,14.47054671711213,5.092573489593323,3.958702174011982,1.1680727408245963
2004-05-31,-8.538155803757403,-6.958224115402586,-1.9328387096216253,-3.345219622037332,-4.181586832013025
2004-06-30,-24.644714403061275,-20.91565314464902,-11.762860553573748,-9.817210953891824,-14.244562700678742
2004-07-31,-41.46067529641956,-35.22980976740663,-17.945093975315157,-18.708775812695528,-18.89903534212722
2004-08-31,-39.35923626256161,-33.645105645441745,-16.79365093990539,-15.304257727078992,-24.262355420474883
2004-09-30,-46.743029588276386,-39.37168351969896,-10.05777200709885,-21.73950834100958,-21.873013285806884
2004-10-31,-29.63807538799154,-25.507504675851678,-17.354543480334524,-20.774484893329607,-17.434364523747817
2004-11-30,-20.86717090076337,-17.893268242259783,-12.15481597709684,-14.52205958760879,-10.176182430067794
2004-12-31,28.755701889403316,22.676873451178817,-6.058405350816969,-7.543836026158176,-5.370016512327815
2005-01-31,46.39992268200467,37.35319458378317,8.46779803268136,10.126400467073505,12.03585410928595
2005-02-28,67.47003095730246,54.48306300977127,26.889266750410016,20.49616840786581,19.999520995590707
2005-03-31,67.16871018327345,54.65458419352822,21.16811340272221,24.493812808482648,21.586543136873516
2005-04-30,64.78949321527384,52.519301071206975,26.157181443489907,23.61839870413578,24.866140292589023
2005-05-31,38.317789295506266,30.998324865123617,22.431461107333252,23.53064145452521,22.140015812597767
2005-06-30,19.01329547243398,14.70150496284194,22.888493754355586,18.33712145549055,14.63992853542814
2005-07-31,2.674540429033985,1.611561063271472,10.003763476687805,10.538030708497518,5.470852990392478
2005-08-31,-5.684072905621525,-5.559137390578699,6.189494374578856,6.1198891893278216,8.09720960598109
2005-09-30,-6.965363372684484,-6.626687579055815,4.30889969061875,-4.682294565681359,-2.7865328385642494
2005-10-31,-16.487300645470327,-14.767331892162858,4.432561281509212,-4.013848250323503,-4.105296572595996
2005-11-30,7.007892783101487,4.848202396211819,-0.8456690431123939,-4.146039606453069,-6.0383629743722285
2005-12-31,60.532662924832664,49.8168882368811,5.771161489340918,1.05681529372548,4.57063325362852
2006-01-31,56.603010815583715,46.45390934674261,16.28634738710847,16.57669881186969,14.890057544075393
2006-02-28,72.18425375904411,59.69032028802659,14.598503912299698,13.723119685772245,14.694457700883403
2006-03-31,97.64900031398871,81.43840933248754,14.88086778053392,22.593606310368667,19.976356548806887
2006-04-30,60.12784627360389,49.374057039624134,23.858720100632144,26.955889182451617,25.78338797624967
2006-05-31,44.71326948508276,36.436450408989614,16.53520934635628,21.28224054638122,17.122051375343688
2006-06-30,34.57588361779462,29.103901791546832,15.025643256115254,15.194887053151243,11.953851280632898
2006-07-31,15.148056585799512,12.687026167697098,9.299115897912184,8.40040009465772,10.600859462170732
2006-08-31,0.98266459474946,0.38978997781446434,4.474683584929095,5.005361952670447,5.0757324558451655
2006-09-30,-12.587012179448918,-11.197019034698064,-2.855935356072358,0.6121536285267876,0.21454011284775204
2006-10-31,-9.050765903258377,-8.073221529472,-5.861588925338872,0.7253264261887334,-1.623420456014858
2006-11-30,13.492512947616374,10.697690637174253,1.384171927001907,-3.0554411312574286,-1.576411349503245
2006-12-31,8.14534976025223,6.584845566700129,5.147835460069822,1.8933221374083828,-0.1716045277931818
2007-01-31,20.322509348881795,16.805978627586917,0.41893763513846155,1.5205862942785873,3.190741703819341
2007-02-28,38.94577120465328,32.306136636738444,5.40455679794384,5.9118795091841605,7.264585570392042
2007-03-31,14.460369439066753,12.102145328224054,7.787671599551167,7.355810259949715,8.50728915039318
2007-04-30,-0.03150420826029882,0.49011717492985335,5.164138726205562,5.27021571099746,3.0127200608558296
2007-05-31,-10.192284685424802,-8.599899792330199,3.63955048194674,2.0756592427534795,1.3941587918678213
2007-06-30,-25.518507821083237,-20.813894728153034,-6.043305459673241,-1.3437010218885603,-0.6961974671597793
2007-07-31,-35.093807427655605,-28.852006208030684,-10.359734799391662,-6.621933087811747,-10.04174289331586
2007-08-31,-48.23967228253681,-40.23108252251133,-9.345683364925119,-8.757817205048,-10.03303473350679
