Unnamed: 0.1,fldas_aet,gldas_aet,modis_aet,tc_aet,nldas_etr,gldas_etr,gmet_etr,modis_pet,tc_pet,gldas_ssr,gldas_bfr,gldas_qsm,gldas,fldas_r,tc_r,p_prism,p_chirps,p_persiann,p_trmm,p_daymet,fldas_swe,gldas_swe,gldas_sm,tc_sm,gldas_m,q_in,q_out,res_s,gmet_eto
2001-01-31,1.3414212051008412,0.8736167111698849,1.5375055603214056,1.7817194044604738,3.432338337886061,2.5405136697145605,2.661275192981825,4.925354683475929,1.7918654682714357,0.09524426966414276,0.2435779243955952,0.19091775235650046,0.5297399464162386,0.2575102570687592,0.3387077864468079,4.648649562244331,5.138611468440665,5.878214189163155,5.232827579057373,5.3109739929017366,0.11975211362219755,0.07439465318111659,12.317391643313591,3.7752803032035898,6.20375094111273,0.7631866760260607,0.9259512333600001,1.26727488504,1.8310872357326164
2001-02-28,1.816036035946304,1.351101413455086,1.4781570260012171,2.231485224854789,3.9654381556431297,2.952112206195437,3.5008022721029373,3.4091209169707177,2.270332972225155,0.23062423552857525,0.6455984936408595,0.3463579455820537,1.2225806747514885,0.3908493287004618,0.8422790985366589,5.2350381467692,5.226746449665729,6.747654099698244,6.335717767033925,6.021914603814445,0.2686337863489162,0.14715438962597027,13.731315666373582,5.617042084396976,6.402754592609145,0.915681258676224,0.9341551088400001,1.3605777791999998,2.5066574493083977
2001-03-31,3.3174409566167253,3.190195758059952,2.5679669896914827,2.8331320976524554,7.493752582103214,6.945935089931884,6.664522159793763,7.3470818346811235,4.698178183487247,0.213404998002972,1.4919884838635322,0.30826137216806937,2.0136548540345736,0.3195273037324769,0.2417015795712,2.4914634081208327,3.67222931924989,3.5136282447791523,2.6544423766018057,2.8526596398082464,0.2025862702585852,0.13323529067383008,17.243423440942475,4.870328855938308,7.9549926016613055,1.0977427315427328,1.0697540322,1.51198374876,5.077706962200186
2001-04-30,3.197405406646303,3.835698327948652,1.9414023544386263,3.0430039769140205,9.422009492365806,9.759438294779574,8.027977843447696,6.577785063338468,6.012505851680326,0.1077712307303096,0.5041461993931092,0.054634526927528564,0.6665519570509474,0.18502799288745264,0.19230148746139608,1.8785398324258038,2.1058207323426887,2.8056181260232225,2.4632598018477583,2.1585808816161167,0.03982749556619485,0.018897369169393788,15.088002600789821,4.025034337156718,7.136615008593807,1.103427242606592,1.3972676418,1.69003288632,6.177018364339629
2001-05-31,3.2990411407884266,4.463156787831571,2.227202611099207,1.4253359339636456,16.81516244980062,18.97867656529793,16.009651827013855,13.35172822337175,10.428645833985406,0.000427265080094132,0.2249662873258216,0.0018855130460214925,0.2272790654519372,0.005044406443441287,0.015433545173835297,0.011473368149719918,0.3314170485894392,0.13869985597939155,0.04740647805837661,0.012994951561714707,0.0009782417662125642,0.0010811047735681703,12.331657810748318,2.663451478546473,6.402405794534472,1.3964714139119618,1.55042145252,1.73820028032,11.745110075386664
2001-06-30,1.9890284845939856,2.607903252953612,1.0287901139831468,0.9442030049870308,18.678290785894227,20.09617175091796,16.120874509131507,9.417166802154117,11.458723428851552,0.0006247427759399047,0.11295081917898465,0.0002327054757532689,0.1138082674306778,0.001640570534840731,0.010777923387231374,0.17927969206613692,0.2364799507568972,0.3388277262937319,0.21594675558266424,0.22993912975889114,5.919534704662608e-06,0.00021374905766784392,8.920863206731797,1.913040841946052,5.346913735685095,1.5338915684702203,2.113783839,1.49301282636,11.815112241360886
2001-07-31,1.2985716317895324,1.5159272977668496,1.9851336444040533,0.44011309504431695,19.43891653691982,18.8977391189506,15.726562630033982,13.658505467912436,11.207656436789007,8.263642586475762e-05,0.08564225179925307,6.640012659296116e-05,0.08579128835171079,0.00014767418902108983,0.0011013227459764708,0.032283854298356306,0.06465619025295427,0.09683366176833648,0.044152933120081284,0.03922858141746116,0.0,0.0005080763962646325,7.569722591180961,1.5012270373703278,5.0586608829970565,1.6664319382689794,1.05705288864,1.2093259946400001,11.842802300366271
2001-08-31,0.6985836121882106,0.7471047888221288,1.2785817956396175,0.2524398119092706,18.367925173107235,18.78334444981752,15.218112057762616,13.085465801607931,10.575327527800274,7.459958028678747e-06,0.06865572441922496,8.048589022889609e-05,0.06874367026748254,3.79681332976817e-05,0.0,2.254596539551679e-06,0.08446638746139007,0.022726823094301702,0.0056880825350240785,0.0006777306324000003,0.0,0.0006695953554919826,6.614737762515078,1.2542477430615342,4.782077141933239,1.262696846644224,0.8549188206,1.09249693644,11.151523011524015
2001-09-30,0.4503830069629878,0.485326496106184,1.1897391633733274,0.4816317590078243,13.944237718472044,14.636703776858926,11.670030956838927,10.547817691630334,7.819022654370839,0.002485421375651366,0.056768309483683325,0.0004363072051250316,0.05969003806445972,0.01071645821948532,0.014451208995137256,0.24081896810922085,0.472557861071088,0.27660549264560896,0.2410774001258873,0.2662958248221966,0.0,0.0007845588034660951,6.022034167314604,1.0822917777492331,4.506990841801468,0.8740908639848448,0.9757690236,0.94318418244,8.38545683562485
2001-10-31,0.36454598892731016,0.444305575179448,0.7488589207716644,0.8535986523633946,10.178423887987412,11.403055706113253,8.627705560504378,6.003955106065469,5.060728416280496,0.009501868333606152,0.05325876952184879,0.0006416343952755768,0.06340227225073053,0.042087024673681334,0.04100544265436863,0.6170529737740573,1.2202964624930157,0.9081241999609859,0.7639821275989529,0.8281147697086171,1.9268988752783207e-05,0.0005855827966041058,6.213248237167796,0.9621876192239938,4.634908214287981,0.6886650127583231,1.19554308912,0.8294388242399999,5.904667934248246
