,prism,chirps,persiann,trmm,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,qs,c2v_s,ds
2001-01-31,16.26397765943567,15.571544356542248,15.712058259563081,15.995809237014656,3.861672611777758,5.8243707786067125,8.75442289575607,3.293473913998671,3.9217798593054116,15.885847378138914,5.131144011888925,1.3037779630080002,5650.451345800189,9.450925403241987
2001-02-28,20.60909096537757,17.336625194449656,19.061531665018826,20.91328717188346,3.5308328438298107,6.914364854643813,9.71682238324266,4.376160746351882,4.722556202122542,19.48013374918238,5.852147406038142,1.4295317391360005,5651.421294929377,12.198454604008235
2001-03-31,9.63483593999743,11.852734546155677,9.737654910039444,9.11547457677471,6.104283436368515,13.939255117952792,18.352524471793142,7.446383201203976,8.768437821750412,10.085174993241814,10.922176809813767,1.8730951557120001,5651.9631164100165,-2.710096972283952
2001-04-30,10.528528428568467,8.903430507936243,9.03720132343304,10.08426214001063,5.00651596882161,16.56676062817135,21.383832876186677,7.937734704443895,9.386869180879811,9.638355599987095,12.056342671700671,0.9032252737536003,5651.730711027027,-3.321212345467176
2001-05-31,0.3057491318999784,1.5837885630741175,0.6314012975669395,0.4432798268625835,6.406551076176916,31.73529172922723,42.646385576890665,9.627090025864009,8.253239840791291,0.7410547048509046,19.733711649790024,0.6871440771071999,5650.261744780242,-19.67980102204632
2001-06-30,1.2181093850161495,1.2447082371662082,1.3225645379827273,1.1253707214459316,3.1427440853791118,31.78903552625418,42.62382118614692,6.8624032034809925,5.456529272649288,1.2276882204027542,17.9749066547821,0.9089013196800002,5648.9975210019,-17.656119754059347
2001-07-31,0.8579394574778098,0.7300648915637236,0.8184616509168351,0.7471155597045585,5.499496123818867,32.78267263538196,42.85054242441842,5.020574921872993,2.642804369357002,0.7883953899157317,17.75921809496985,1.13276261376,5647.184847577099,-18.10358531881412
2001-08-31,0.034260962274296564,0.5052937751597855,0.11715373371568634,0.11657306247359296,3.5563777428624572,31.366722283747066,42.41441788678093,2.780617855134699,1.0859695158324207,0.19332038340584035,16.240821056871514,1.0026050088960001,5645.004876148353,-17.050105682361675
2001-09-30,1.567999999546861,2.2596057525114954,1.3497059722360767,1.4589286856975097,3.543251553502068,23.31632480327401,32.32959954039377,1.87772072211556,2.3661894348334185,1.6590601024979856,12.686617210823766,0.9071887196160001,5642.899364745437,-11.93474582794178
2001-10-31,3.5542780785203103,4.465147177617276,3.071806627365189,3.175476245770201,2.2300417862832687,16.712928613207175,24.561931922533585,1.306306831856382,3.424412725363653,3.5666770323182444,9.647124375848813,0.6348363780095999,5642.57206014971,-6.715283721540168
2001-11-30,20.91682854962153,20.4859515237652,18.086670731560872,19.62309979939465,2.8797253549276864,6.642685060529063,9.52420043166364,3.048037510032554,7.4043307981149376,19.778137651085565,5.899795831053576,0.9030050823167999,5643.072920010994,12.975336737715189
2001-12-31,29.905104272653364,25.731362441317536,25.80207062710384,27.282715863080014,1.9840741628361784,4.397594177867397,6.449923790997263,2.7882448960089743,3.834875395917303,27.18031330103869,3.890942484725423,2.076405249024,5644.229574138605,21.21296556728927
2002-01-31,11.56077430697504,11.642139006431183,10.508019958958522,11.047805559685054,2.6857218517718846,5.530927525564319,8.148967677521448,3.290009099323118,2.9438815943511343,11.189684708012448,4.519901549706381,2.902612451328,5645.2604933660205,3.7671707069780678
2002-02-28,7.072912720552527,7.235941806029032,6.500648346168504,7.291755371275984,3.861486838442265,8.440371832525868,11.941150940079007,4.874179061682523,4.001610090263091,7.025314561006512,6.62375975259855,1.2450602465279998,5645.8035911868565,-0.843505438120038
2002-03-31,11.90719092133523,10.938085934412502,9.559091532755131,10.666721207242711,5.379098840526208,13.284416497510806,17.970191176748287,6.683171849369545,6.7374015567908145,10.767772398936394,10.010855984189131,1.6171837747200002,5646.23875505761,-0.8602673599727375
2002-04-30,4.40246844940748,5.036724806220829,4.362201553162824,4.697304602464561,4.919226246848753,17.31812450983208,22.247589487138463,7.699890323235472,8.260741876998225,4.624674852813923,12.089114488810598,1.0625460111360001,5645.782901715408,-8.526985647132674
2002-05-31,4.133913224008861,3.2650821162871293,3.301858003790301,3.8473728034912305,6.456945999866379,26.186337153550838,34.00437312284081,8.623147320216393,9.075922241587806,3.6370565368943804,16.869345167612444,0.9836196139008,5644.283097251442,-14.215908244618863
2002-06-30,0.331702478691251,0.8775349906675686,0.4827962843154358,0.4469428888182807,6.315123627038119,31.981573810219125,42.183530893713275,8.571846736400882,5.748056675726758,0.534744160623134,18.960026348619632,1.0197310095360002,5642.972353611367,-19.445013197532496
2002-07-31,0.26583824447276017,0.47691362766511497,0.11197146654933282,0.14682616271292978,4.451278247642857,34.6041365113306,45.54779014489712,6.236131528769088,2.5361732623167255,0.2503873753500344,18.67510193899128,1.4334462535680002,5641.233073521444,-19.858160817209246
