,runoff,soil_moisture,swe,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_out1,q_out2,res_s,c2v_s
1980-07-31,,,,,,,,,,,,,,,,,,,5663.757502016545
1980-08-31,,,,,,,,,,,,,,,,,,,5662.606399705843
1980-09-30,,,,,,,,,,,,,,,,,,,5661.398380856277
1980-10-31,,,,,,,,,,,,,,,,,,,5661.876947826937
1980-11-30,,,,,,,,,,,,,,,,,,,5662.180080098305
1980-12-31,,,,,,,,,,,,,,,,,,,5662.7284998479545
1981-01-31,,,,,,,,,,,,,,,,,,,5663.912305497698
1981-02-28,,,,,,,,,,,,,,,,,,,5664.686171075628
1981-03-31,,,,,,,,,,,,,,,,,,,5665.8429731014
1981-04-30,,,,,,,,,,,,,,,,,,,5665.917799237827
1981-05-31,,,,,,,,,,,,,,,,,,,5664.172816895724
1981-06-30,,,,,,,,,,,,,,,,,,,5662.823176253336
1981-07-31,,,,,,,,,,,,,,,,,,,5661.190790118861
1981-08-31,,,,,,,,,,,,,,,,,,,5659.445107201242
1981-09-30,,,,,,,,,,,,,,,,,,,5657.771482588091
1981-10-31,,,,,,,,,,,,,,,,,,,5658.291640939845
1981-11-30,,,,,,,,,,,,,,,,,,,5659.471566887497
1981-12-31,,,,,,,,,,,,,,,,,,,5660.667849724171
1982-01-31,,,,,,,,,,,,,,,,,,,5662.332286084546
1982-02-28,,,,,,,,,,,,,,,,,,,5663.873704400241
1982-03-31,,,,,,,,,,,,,,,,,,,5666.0334315357295
1982-04-30,,,,,,,,,,,,,,,,,,,5668.208413494822
1982-05-31,,,,,,,,,,,,,,,,,,,5668.088883769341
1982-06-30,,,,,,,,,,,,,,,,,,,5667.516250118331
1982-07-31,,,,,,,,,,,,,,,,,,,5666.388496706627
1982-08-31,,,,,,,,,,,,,,,,,,,5665.422426315757
1982-09-30,,,,,,,,,,,,,,,,,,,5664.787244630647
1982-10-31,,,,,,,,,,,,,,,,,,,5665.718430256354
1982-11-30,,,,,,,,,,,,,,,,,,,5667.29451179683
1982-12-31,,,,,,,,,,,,,,,,,,,5669.229749581049
1983-01-31,,,,,,,,,,,,,,,,,,,5671.593813815167
1983-02-28,,,,,,,,,,,,,,,,,,,5674.356875912631
1983-03-31,,,,,,,,,,,,,,,,,,,5677.752416925254
1983-04-30,,,,,,,,,,,,,,,,,,,5679.8285003085875
1983-05-31,,,,,,,,,,,,,,,,,,,5680.10141480826
1983-06-30,,,,,,,,,,,,,,,,,,,5679.798316912521
1983-07-31,,,,,,,,,,,,,,,,,,,5678.809607786573
1983-08-31,,,,,,,,,,,,,,,,,,,5677.816219484411
