,et_multiplier,fldas_aet,fldas_r,fldas_swe,gldas,gldas_aet,gldas_bfr,gldas_etr,gldas_m,gldas_qsm,gldas_sm,gldas_ssr,gldas_swe,gmet_eto,gmet_eto_sum,gmet_etr,gmet_etr_sum,modis_aet,modis_pet,modis_pet_sum,nldas_etr,p_chirps,p_daymet,p_persiann,p_prism,p_trmm,q_in,q_out,res_s,tc_aet,tc_pet,tc_pet_sum,tc_r,tc_sm,aet_mean,pet_mean,et_mean,p_mean,sm_mean,r_mean,r_eff,swe_mean,et_eff,c2vsim,cv_ds
2001-01-31,0.5805560669234872,0.4481178253909874,0.2575102570687592,0.11975211362219755,0.5297399464162386,0.29042525027133087,0.2435779243955952,0.6350558796617427,6.20375094111273,0.19091775235650046,12.317391643313591,0.09524426966414276,0.07439465318111659,0.4560218684338681,0.8095140018391969,0.6647856408996667,1.175321330116103,0.5963338109458071,1.4566602499186394,2.6163109699324862,0.8574034392488081,5.138611468440665,5.3109739929017366,5.878214189163155,4.648649562244331,5.232827579057373,0.7631866760260607,0.92595123336,1.26727488504,0.5883863547940142,0.4389517249692754,0.7817674754849473,0.3387077864468079,3.7752803032035898,0.4808158103505349,0.7541048710553624,0.6174603407029486,5.241855358361453,7.432140962543304,0.47228616648946653,0.7548767899260244,0.09707338340165707,1.2349206814058973,1.0141462147730635,
2001-02-28,0.611898138446928,0.6165934013368712,0.3908493287004618,0.2686337863489162,1.2225806747514885,0.4615315512156677,0.6455984936408595,0.775998349098405,6.402754592609145,0.3463579455820537,13.731315666373582,0.23062423552857525,0.14715438962597027,0.6522756011499018,1.1729263745013359,0.9121426960097495,1.6383597150355564,0.5395175724618291,0.958545990092278,1.7255319836803256,1.0356500240810358,5.226746449665729,6.021914603814445,6.747654099698244,5.2350381467692,6.335717767033925,0.9156812586762241,0.93415510884,1.3605777791999998,0.7453728321716705,0.5828238117043419,1.0462519977463551,0.8422790985366589,5.617042084396976,0.5907538392965096,0.7764470247390678,0.6836004320177886,5.913414213396308,8.583704114459902,0.8428475901662084,2.23312989620171,0.20789408798744324,1.3672008640355773,1.998245901420887,5.443243612877213
2001-03-31,0.6413157444469975,1.1128333386821614,0.3195273037324769,0.2025862702585852,2.0136548540345736,1.1006665379532252,1.4919884838635322,1.9049685215251162,7.9549926016613055,0.30826137216806937,17.243423440942475,0.21340499800297197,0.13323529067383008,1.3780413015874677,2.471864980755459,1.8123643531607008,3.245216839643844,0.8737130812857727,1.9982774512298302,3.58491774042995,2.0477175736880198,3.67222931924989,2.8526596398082464,3.5136282447791523,2.4914634081208327,2.6544423766018057,1.0977427315427328,1.0697540322,1.51198374876,0.9040039613994164,1.2703537374899643,2.277896057635365,0.2417015795712,4.870328855938308,0.9978042298301439,1.6147592108669908,1.3062817203485673,3.0368845977119854,10.022914966180696,0.9181566172202458,4.127955944960409,0.16791078046620764,2.6125634406971345,1.5308092715376915,3.0035680789893378
2001-04-30,0.7060725476896347,1.0387382740830096,0.18502799288745264,0.03982749556619485,0.6665519570509474,1.2821448773122686,0.5041461993931092,2.938608212516352,7.136615008593807,0.054634526927528564,15.088002600789821,0.1077712307303096,0.018897369169393788,1.8438024610084567,3.3197167138953723,2.4004203314015977,4.322608690678299,0.6449702046944881,1.963166152341466,3.5227125712797993,2.8185142287834326,2.1058207323426887,2.1585808816161167,2.8056181260232225,1.878539832425804,2.4632598018477583,1.103427242606592,1.3972676418,1.69003288632,0.9906319048246213,1.7909773733425938,3.2172323630746655,0.19230148746139608,4.025034337156718,0.9891213152285967,1.9995915795235284,1.4943564473760627,2.282363874851118,8.749883982180116,0.5368271700015971,1.5543628019918843,0.02936243236779432,2.9887128947521253,0.3469876398366978,1.763493150842486
2001-05-31,0.8208978041460654,0.9582612641294386,0.005044406443441287,0.0009782417662125642,0.2272790654519372,1.4282462082270853,0.2249662873258216,6.6148170700180975,6.402405794534472,0.0018855130460214925,12.331657810748318,0.000427265080094132,0.0010811047735681703,4.0752928600240095,7.341336143771597,5.564744267191527,10.028937946322781,0.719442804829164,4.631878027491604,8.320978297746072,5.853068890047652,0.3314170485894392,0.012994951561714707,0.13869985597939155,0.011473368149719918,0.04740647805837661,1.3964714139119618,1.55042145252,1.73820028032,0.37341480278377415,3.6059387088188486,6.474225042962133,0.015433545173835297,2.663451478546473,0.8698412699923654,4.469463465881498,2.6696523679369317,0.10839834046772841,7.132505027943087,0.4110571077452939,0.6912858056869581,0.0010296732698903673,5.3393047358738635,-0.7585015736831338,-3.1065428036943623
2001-06-30,0.9756080846144151,0.507904840929572,0.001640570534840731,5.919534704662608e-06,0.1138082674306778,0.7909856419026978,0.11295081917898465,8.321769409175124,5.346913735685095,0.0002327054757532689,8.920863206731797,0.0006247427759399047,0.00021374905766784392,4.873423312059681,8.80403003680993,6.655147261600721,12.041130866125572,0.32773206895957335,3.8761156563032926,6.963436357744979,7.7069303356692584,0.2364799507568972,0.22993912975889114,0.3388277262937319,0.17927969206613692,0.21594675558266424,1.5338915684702203,2.113783839,1.49301282636,0.23960773156864001,4.710143918845666,8.462846830782375,0.010777923387231374,1.9130408419460516,0.4665575708401208,5.02870753720234,2.7476325540212305,0.2400946508916643,5.393605928120981,0.41502958245574256,-0.24304613166340888,0.00010983429618625326,5.495265108042461,-0.7700244238221785,-4.093154949845978
2001-07-31,1.0168792527597144,0.3110872999265721,0.00014767418902108983,0.0,0.08579128835171079,0.4368506802056403,0.08564225179925307,8.13774140953004,5.0586608829970565,6.640012659296116e-05,7.569722591180961,8.263642586475762e-05,0.0005080763962646325,5.073583446435342,9.146063537832028,6.7413378291475965,12.174080480021676,0.6526766437970322,5.839618151728845,10.485695123363431,8.326639613100077,0.06465619025295427,0.03922858141746116,0.09683366176833648,0.032283854298356306,0.044152933120081284,1.6664319382689794,1.05705288864,1.20932599464,0.11479546036746041,4.785825742264628,8.597000802744203,0.0011013227459764708,1.5012270373703278,0.3788525210741762,5.610091292394103,2.9944719067341397,0.055431044171437904,4.709870170516115,0.4383680558889219,-0.3311136590506707,0.00025403819813231627,5.988943813468279,-1.3260550995846643,-4.688119116732263
2001-08-31,1.0313834597469165,0.17174176096716548,3.79681332976817e-05,0.0,0.06874367026748254,0.2170245197305961,0.06865572441922496,8.188985677835786,4.782077141933239,8.048589022889609e-05,6.614737762515078,7.459958028678747e-06,0.0006695953554919826,4.841477254849141,8.7304631242404,6.609293179309837,11.931009278123305,0.4222114092212706,5.681431805341923,10.212018794470092,7.972747537689608,0.08446638746139007,0.0006777306324000003,0.022726823094301702,2.254596539551679e-06,0.0056880825350240785,1.262696846644224,0.8549188206,1.09249693644,0.07056861714512314,4.588850201823569,8.245142289668081,0.0,1.2542477430615342,0.22038657676603884,5.430263110331118,2.8253248435485783,0.022712255663931077,4.2170208825032836,0.3328696212612511,-0.26548564147821313,0.0003347976777459913,5.6506496870971565,-1.6316300048647463,-4.8761282196136095
2001-09-30,0.9511324557892792,0.12018766760739377,0.01071645821948532,0.0,0.05969003806445972,0.13829078051672097,0.056768309483683325,5.903842405513262,4.506990841801468,0.00043630720512503163,6.022034167314604,0.002485421375651366,0.0007845588034660951,3.3705860500196603,6.076202320406669,4.692181514134198,8.465673791100905,0.3894486703903122,4.244152901819889,7.634539433067739,5.597960398296971,0.47255786107108794,0.2662958248221966,0.27660549264560896,0.24081896810922085,0.2410774001258873,0.8740908639848448,0.9757690236,0.94318418244,0.1277813031004361,3.1330068148548116,5.627928017680956,0.014451208995137256,1.0822917777492331,0.19392710540371577,3.85998182020714,2.0269544628054277,0.29947110935480037,3.8704389289551013,0.23973714231598178,-0.12925022729042035,0.00039227940173304753,4.053908925610855,-1.9593279732689552,-3.4895864590614227
2001-10-31,0.7826578890883579,0.10608375948395043,0.04208702467368133,1.9268988752783207e-05,0.06340227225073053,0.12690156131361335,0.05325876952184879,3.791040562140988,4.634908214287981,0.0006416343952755768,6.213248237167796,0.009501868333606152,0.0005855827966041058,1.9624870297867947,3.520242459613303,2.870579212785036,5.142528048122534,0.24088598144742904,2.003968942122297,3.604836576824179,3.3879322909928216,1.2202964624930157,0.8281147697086171,0.908124199960986,0.6170529737740573,0.7639821275989529,0.6886650127583231,1.19554308912,0.8294388242399999,0.23667109613246748,1.672201003563983,2.9935387932810613,0.04100544265436863,0.9621876192239938,0.1776355995943651,2.1273090470645277,1.1524723233294465,0.8675141067071259,3.9367813568932575,0.20878993808427593,-0.047045245643420414,0.0003024258926784445,2.304944646658893,0.29121610190395586,-1.9437519556881584
